## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_13.FCHJKY5BBXX_L3_IATCACG.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_13.FCHJKY5BBXX_L3_IATCACG.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_13.FCHJKY5BBXX_L3_IATCACG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 11 14:44:03 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	55518044	12515306	0	0	15982710	440833	0.287883	78207700

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005498	34044591	0	34321829
2.0	1.499905	4101522	395315	3887401
3.0	1.743007	693038	12967	645713
4.0	1.86254	211543	2209	202015
5.0	1.921316	103024	910	100821
6.0	1.950216	63723	366	62620
7.0	1.964426	44140	244	43644
8.0	1.971413	32774	143	32330
9.0	1.974849	25830	88	25599
10.0	1.976538	20587	85	20440
11.0	1.977369	16994	48	16810
12.0	1.977777	14420	43	14285
13.0	1.977978	12296	24	12235
14.0	1.978077	10631	16	10536
15.0	1.978125	9286	15	9225
16.0	1.978149	8199	11	8105
17.0	1.978161	7317	10	7255
18.0	1.978167	6326	6	6291
19.0	1.978169	5865	6	5825
20.0	1.978171	5296	8	5247
21.0	1.978172	4858	5	4810
22.0	1.978172	4408	3	4379
23.0	1.978172	4111	3	4067
24.0	1.978172	3700	5	3684
25.0	1.978172	3413	2	3407
26.0	1.978172	3211	4	3193
27.0	1.978172	2980	2	2923
28.0	1.978172	2648	1	2637
29.0	1.978172	2534	0	2566
30.0	1.978172	2395	2	2360
31.0	1.978172	2330	3	2254
32.0	1.978172	2148	2	2160
33.0	1.978172	1982	1	1963
34.0	1.978172	1857	1	1837
35.0	1.978172	1792	0	1811
36.0	1.978172	1713	0	1696
37.0	1.978172	1633	3	1632
38.0	1.978172	1558	1	1506
39.0	1.978172	1435	0	1440
40.0	1.978172	1365	1	1370
41.0	1.978172	1315	0	1290
42.0	1.978172	1255	0	1209
43.0	1.978172	1178	0	1140
44.0	1.978172	1033	2	1069
45.0	1.978172	1091	1	1101
46.0	1.978172	1054	0	1083
47.0	1.978172	1025	0	966
48.0	1.978172	962	1	946
49.0	1.978172	889	0	874
50.0	1.978172	905	0	923
51.0	1.978172	849	0	860
52.0	1.978172	830	0	804
53.0	1.978172	771	0	752
54.0	1.978172	767	0	796
55.0	1.978172	762	0	747
56.0	1.978172	690	0	665
57.0	1.978172	632	0	622
58.0	1.978172	628	0	613
59.0	1.978172	561	0	565
60.0	1.978172	596	0	589
61.0	1.978172	529	0	509
62.0	1.978172	560	0	588
63.0	1.978172	559	0	539
64.0	1.978172	509	0	491
65.0	1.978172	492	0	474
66.0	1.978172	430	0	428
67.0	1.978172	432	0	453
68.0	1.978172	435	0	414
69.0	1.978172	411	0	402
70.0	1.978172	432	0	435
71.0	1.978172	402	0	402
72.0	1.978172	372	0	394
73.0	1.978172	390	0	364
74.0	1.978172	381	0	406
75.0	1.978172	373	0	382
76.0	1.978172	394	0	382
77.0	1.978172	366	0	368
78.0	1.978172	369	0	363
79.0	1.978172	348	0	328
80.0	1.978172	312	0	299
81.0	1.978172	324	0	339
82.0	1.978172	312	0	297
83.0	1.978172	308	0	301
84.0	1.978172	250	0	294
85.0	1.978172	315	0	296
86.0	1.978172	310	0	284
87.0	1.978172	291	0	278
88.0	1.978172	238	0	231
89.0	1.978172	247	0	267
90.0	1.978172	263	0	263
91.0	1.978172	250	0	255
92.0	1.978172	271	0	227
93.0	1.978172	203	0	225
94.0	1.978172	221	0	211
95.0	1.978172	217	0	229
96.0	1.978172	240	0	237
97.0	1.978172	200	0	193
98.0	1.978172	206	0	203
99.0	1.978172	208	0	217
100.0	1.978172	200	0	193
101.0	0	177	0	188
102.0	0	228	0	217
103.0	0	205	0	171
104.0	0	163	0	174
105.0	0	166	0	182
106.0	0	185	0	186
107.0	0	186	0	176
108.0	0	165	0	170
109.0	0	191	0	158
110.0	0	134	0	155
111.0	0	164	0	150
112.0	0	139	0	164
113.0	0	159	0	156
114.0	0	156	0	141
115.0	0	140	0	146
