## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_14.FCHJKY5BBXX_L3_ITTAGGC.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_14.FCHJKY5BBXX_L3_ITTAGGC.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_14.FCHJKY5BBXX_L3_ITTAGGC.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 11 14:41:15 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	53279735	11204552	0	0	14175448	405668	0.266057	82995747

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005473	33696141	0	33958151
2.0	1.534614	4060285	369338	3859222
3.0	1.813081	700461	10914	655014
4.0	1.959627	213796	1683	204466
5.0	2.036749	101407	635	98951
6.0	2.077335	61037	308	59988
7.0	2.098694	41156	147	40629
8.0	2.109934	29975	107	29659
9.0	2.115849	22968	80	22650
10.0	2.118963	18421	49	18255
11.0	2.120601	14726	24	14604
12.0	2.121463	12556	29	12441
13.0	2.121917	10441	13	10377
14.0	2.122155	8880	19	8794
15.0	2.122281	7688	11	7574
16.0	2.122347	6738	11	6688
17.0	2.122382	5975	8	5978
18.0	2.1224	5465	7	5412
19.0	2.12241	4703	2	4628
20.0	2.122415	4326	1	4313
21.0	2.122418	3908	4	3871
22.0	2.122419	3597	2	3592
23.0	2.12242	3321	3	3321
24.0	2.12242	3057	2	2980
25.0	2.12242	2743	1	2711
26.0	2.122421	2527	1	2525
27.0	2.122421	2375	0	2375
28.0	2.122421	2181	1	2201
29.0	2.122421	2084	5	2019
30.0	2.122421	1944	0	1916
31.0	2.122421	1798	2	1812
32.0	2.122421	1710	0	1670
33.0	2.122421	1587	1	1605
34.0	2.122421	1536	1	1493
35.0	2.122421	1409	0	1381
36.0	2.122421	1348	1	1333
37.0	2.122421	1263	0	1263
38.0	2.122421	1194	3	1213
39.0	2.122421	1123	1	1096
40.0	2.122421	1054	0	1050
41.0	2.122421	947	0	928
42.0	2.122421	1006	0	1036
43.0	2.122421	912	0	878
44.0	2.122421	871	0	864
45.0	2.122421	809	0	784
46.0	2.122421	785	1	756
47.0	2.122421	741	1	761
48.0	2.122421	747	1	763
49.0	2.122421	714	0	683
50.0	2.122421	655	0	654
51.0	2.122421	643	0	637
52.0	2.122421	619	0	646
53.0	2.122421	600	0	598
54.0	2.122421	576	0	558
55.0	2.122421	521	1	507
56.0	2.122421	543	0	523
57.0	2.122421	458	0	475
58.0	2.122421	495	0	460
59.0	2.122421	458	0	444
60.0	2.122421	453	0	478
61.0	2.122421	464	0	460
62.0	2.122421	416	1	427
63.0	2.122421	454	0	421
64.0	2.122421	386	0	394
65.0	2.122421	402	0	412
66.0	2.122421	403	0	379
