## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_31.FCHJKY5BBXX_L6_IGTGGCC.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_31.FCHJKY5BBXX_L6_IGTGGCC.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_31.FCHJKY5BBXX_L6_IGTGGCC.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 11 14:43:11 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	55924928	14351678	0	0	19174504	727085	0.342861	62919562

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008181	30298165	0	30700469
2.0	1.42268	4696670	613669	4414140
3.0	1.593096	924375	27530	839376
4.0	1.66316	279286	5185	258727
5.0	1.691965	127471	2135	121428
6.0	1.703809	74561	1139	72171
7.0	1.708678	50095	720	48887
8.0	1.71068	36352	476	35636
9.0	1.711503	28184	314	27687
10.0	1.711841	22455	219	22019
11.0	1.71198	18459	173	18265
12.0	1.712037	15605	121	15345
13.0	1.712061	13198	97	12997
14.0	1.71207	11296	72	11097
15.0	1.712074	9904	70	9730
16.0	1.712076	8687	61	8539
17.0	1.712077	7578	50	7479
18.0	1.712077	6755	34	6712
19.0	1.712077	6230	33	6152
20.0	1.712077	5564	20	5529
21.0	1.712077	5031	20	4992
22.0	1.712077	4819	9	4699
23.0	1.712077	4382	21	4349
24.0	1.712077	4029	15	3955
25.0	1.712077	3712	8	3681
26.0	1.712077	3383	8	3318
27.0	1.712077	3154	12	3142
28.0	1.712077	3036	9	2940
29.0	1.712077	2660	6	2685
30.0	1.712077	2560	7	2592
31.0	1.712077	2453	2	2398
32.0	1.712077	2373	3	2299
33.0	1.712077	2120	4	2114
34.0	1.712077	2081	3	2001
35.0	1.712077	1853	3	1878
36.0	1.712077	1864	4	1816
37.0	1.712077	1729	3	1734
38.0	1.712077	1731	2	1669
39.0	1.712077	1552	4	1571
40.0	1.712077	1464	3	1465
41.0	1.712077	1489	2	1395
42.0	1.712077	1304	2	1303
43.0	1.712077	1263	1	1269
44.0	1.712077	1206	1	1187
45.0	1.712077	1153	0	1136
46.0	1.712077	1125	2	1157
47.0	1.712077	1119	0	1069
48.0	1.712077	1080	1	1032
49.0	1.712077	990	3	969
50.0	1.712077	961	1	975
51.0	1.712077	915	2	924
52.0	1.712077	943	4	949
53.0	1.712077	854	0	852
54.0	1.712077	838	5	810
55.0	1.712077	789	1	760
56.0	1.712077	773	0	756
57.0	1.712077	746	1	723
58.0	1.712077	674	1	693
59.0	1.712077	688	1	699
60.0	1.712077	676	0	659
61.0	1.712077	655	1	679
62.0	1.712077	665	2	607
63.0	1.712077	617	0	617
64.0	1.712077	632	0	591
65.0	1.712077	567	0	591
