## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_35.FCHJKY5BBXX_L6_IACTGAT.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_35.FCHJKY5BBXX_L6_IACTGAT.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_35.FCHJKY5BBXX_L6_IACTGAT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 12 16:55:21 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	63333080	14676020	0	0	19978858	944969	0.315457	80175051

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.009951	35944301	0	36492513
2.0	1.468342	5504984	805359	5117213
3.0	1.676394	1038017	36670	922280
4.0	1.770824	298932	6098	271386
5.0	1.813683	132382	2464	124882
6.0	1.833135	76759	1285	73889
7.0	1.841964	51924	809	50411
8.0	1.845972	37656	521	36920
9.0	1.84779	29036	364	28340
10.0	1.848616	23072	247	22675
11.0	1.848991	18856	190	18668
12.0	1.849161	16016	130	15544
13.0	1.849238	13336	97	13228
14.0	1.849273	11724	77	11560
15.0	1.849289	10283	65	10088
16.0	1.849296	9101	59	8928
17.0	1.849299	7880	41	7729
18.0	1.849301	7128	36	7054
19.0	1.849301	6605	42	6543
20.0	1.849302	5992	21	5861
21.0	1.849302	5365	19	5327
22.0	1.849302	4870	22	4708
23.0	1.849302	4469	16	4498
24.0	1.849302	4214	16	4085
25.0	1.849302	3832	16	3721
26.0	1.849302	3463	11	3465
27.0	1.849302	3229	14	3215
28.0	1.849302	3020	10	3021
29.0	1.849302	2817	12	2685
30.0	1.849302	2675	7	2725
31.0	1.849302	2501	7	2432
32.0	1.849302	2358	7	2305
33.0	1.849302	2223	2	2219
34.0	1.849302	2109	7	2093
35.0	1.849302	1966	3	1889
36.0	1.849302	1888	4	1867
37.0	1.849302	1766	5	1738
38.0	1.849302	1597	4	1566
39.0	1.849302	1535	3	1540
40.0	1.849302	1505	3	1487
41.0	1.849302	1386	2	1387
42.0	1.849302	1369	1	1304
43.0	1.849302	1306	3	1324
44.0	1.849302	1285	1	1253
45.0	1.849302	1255	1	1274
46.0	1.849302	1201	0	1146
47.0	1.849302	1104	1	1094
48.0	1.849302	1113	3	1096
49.0	1.849302	1048	2	964
50.0	1.849302	982	6	1017
51.0	1.849302	947	1	930
52.0	1.849302	860	2	868
53.0	1.849302	856	1	859
54.0	1.849302	862	0	844
55.0	1.849302	830	0	779
56.0	1.849302	755	1	740
57.0	1.849302	749	1	733
58.0	1.849302	715	1	738
59.0	1.849302	721	1	716
60.0	1.849302	720	2	670
61.0	1.849302	667	1	656
62.0	1.849302	615	1	594
63.0	1.849302	578	0	572
64.0	1.849302	588	0	565
65.0	1.849302	534	1	551
66.0	1.849302	562	1	539
67.0	1.849302	532	1	527
68.0	1.849302	478	2	504
69.0	1.849302	522	0	505
70.0	1.849302	511	1	498
71.0	1.849302	490	0	461
72.0	1.849302	464	0	460
73.0	1.849302	426	1	428
74.0	1.849302	473	1	455
75.0	1.849302	425	0	399
76.0	1.849302	405	1	407
77.0	1.849302	408	0	377
78.0	1.849302	349	0	365
79.0	1.849302	380	1	392
80.0	1.849302	378	0	371
81.0	1.849302	351	0	372
82.0	1.849302	371	0	323
83.0	1.849302	365	0	362
84.0	1.849302	327	0	323
85.0	1.849302	324	0	305
86.0	1.849302	311	0	312
87.0	1.849302	293	0	282
88.0	1.849302	272	1	273
89.0	1.849302	290	1	298
90.0	1.849302	271	0	304
91.0	1.849302	295	0	300
92.0	1.849302	308	0	299
93.0	1.849302	289	0	259
94.0	1.849302	298	0	242
95.0	1.849302	269	0	265
96.0	1.849302	239	0	247
97.0	1.849302	227	0	240
98.0	1.849302	224	1	214
99.0	1.849302	239	0	250
100.0	1.849302	237	0	231
101.0	0	226	1	225
102.0	0	209	0	243
103.0	0	219	0	195
104.0	0	230	0	234
105.0	0	211	0	199
106.0	0	211	0	208
107.0	0	210	0	200
108.0	0	203	0	199
109.0	0	194	0	195
110.0	0	185	0	166
111.0	0	175	0	180
112.0	0	178	0	138
113.0	0	161	0	166
114.0	0	153	1	155
115.0	0	165	0	176
116.0	0	159	0	157
117.0	0	164	0	167
118.0	0	167	1	173
119.0	0	181	0	159
120.0	0	132	0	164
121.0	0	168	0	158
122.0	0	167	0	154
123.0	0	151	0	141
124.0	0	150	1	144
125.0	0	134	0	154
126.0	0	157	0	146
127.0	0	162	0	141
128.0	0	139	0	128
129.0	0	135	0	133
130.0	0	111	0	115
131.0	0	111	0	109
132.0	0	134	0	124
133.0	0	110	0	136
134.0	0	125	0	112
135.0	0	111	0	117
136.0	0	122	0	132
137.0	0	128	0	119
138.0	0	132	0	122
139.0	0	110	0	126
140.0	0	121	0	127
141.0	0	117	1	80
142.0	0	105	0	102
143.0	0	120	0	95
144.0	0	85	0	98
145.0	0	92	2	102
146.0	0	90	0	102
147.0	0	106	0	104
148.0	0	93	0	81
149.0	0	93	0	94
150.0	0	106	0	76
151.0	0	80	0	99
152.0	0	87	0	93
153.0	0	98	0	88
154.0	0	91	0	95
155.0	0	93	0	90
156.0	0	96	0	82
157.0	0	64	0	96
158.0	0	85	0	87
159.0	0	92	0	73
160.0	0	89	0	71
161.0	0	82	0	83
162.0	0	87	0	83
163.0	0	68	0	88
164.0	0	86	0	74
165.0	0	68	0	73
166.0	0	81	0	77
167.0	0	72	0	72
168.0	0	81	0	58
169.0	0	70	0	63
170.0	0	70	0	67
171.0	0	54	0	67
172.0	0	76	0	69
173.0	0	67	0	68
174.0	0	70	0	68
175.0	0	51	0	58
176.0	0	76	0	69
177.0	0	64	0	69
178.0	0	52	0	53
179.0	0	67	0	51
180.0	0	50	0	55
181.0	0	58	0	56
182.0	0	55	0	53
183.0	0	53	0	68
184.0	0	58	0	67
185.0	0	56	0	66
186.0	0	68	0	64
187.0	0	64	0	64
188.0	0	55	0	44
189.0	0	50	0	44
190.0	0	60	0	47
191.0	0	51	0	64
192.0	0	66	0	63
193.0	0	49	0	52
194.0	0	58	0	56
195.0	0	47	0	48
196.0	0	65	0	51
197.0	0	48	0	38
198.0	0	51	0	42
199.0	0	49	0	51
200.0	0	52	0	32
201.0	0	43	0	57
202.0	0	33	0	50
203.0	0	45	0	47
204.0	0	46	0	51
205.0	0	44	0	39
206.0	0	52	0	35
207.0	0	40	0	42
208.0	0	39	0	50
209.0	0	42	0	50
210.0	0	48	0	40
211.0	0	35	0	43
212.0	0	53	0	46
213.0	0	47	0	40
214.0	0	54	0	38
215.0	0	41	0	49
216.0	0	40	0	48
217.0	0	42	0	43
218.0	0	37	0	31
219.0	0	51	0	30
220.0	0	29	0	38
221.0	0	32	0	36
222.0	0	36	0	39
223.0	0	34	0	34
224.0	0	34	0	22
225.0	0	40	0	40
226.0	0	30	0	38
227.0	0	39	0	39
228.0	0	37	0	37
229.0	0	34	0	34
230.0	0	34	0	33
231.0	0	34	0	35
232.0	0	36	0	37
233.0	0	32	0	29
234.0	0	41	0	30
235.0	0	29	0	32
236.0	0	33	0	32
237.0	0	35	0	39
238.0	0	28	0	35
239.0	0	34	0	40
240.0	0	31	0	28
241.0	0	33	0	37
242.0	0	38	0	23
243.0	0	34	0	41
244.0	0	37	0	33
245.0	0	37	0	34
246.0	0	27	0	30
247.0	0	36	0	34
248.0	0	34	0	33
249.0	0	22	0	28
250.0	0	28	0	39
251.0	0	35	0	28
252.0	0	30	0	27
253.0	0	31	0	33
254.0	0	34	0	25
255.0	0	35	0	23
256.0	0	26	0	23
257.0	0	31	0	34
258.0	0	23	0	23
259.0	0	28	0	34
260.0	0	25	0	22
261.0	0	30	0	26
262.0	0	23	0	21
