## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_36.FCHJKY5BBXX_L6_IATTCCT.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_36.FCHJKY5BBXX_L6_IATTCCT.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_36.FCHJKY5BBXX_L6_IATTCCT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 12 16:55:21 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	62562666	13556628	0	0	18249531	855404	0.2917	87740782

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.009508	37070151	0	37588530
2.0	1.50432	5388673	748145	5013709
3.0	1.746854	1010566	30167	906520
4.0	1.865732	298429	4540	274616
5.0	1.924	134401	1801	127860
6.0	1.95256	77844	937	74945
7.0	1.966559	51524	532	50356
8.0	1.973421	37703	370	36746
9.0	1.976784	28174	233	27637
10.0	1.978433	22547	170	22164
11.0	1.979241	18253	139	17879
12.0	1.979637	14834	79	14643
13.0	1.979831	12692	74	12432
14.0	1.979926	11020	58	10822
15.0	1.979973	9439	53	9337
16.0	1.979996	8108	49	7982
17.0	1.980007	7435	26	7262
18.0	1.980012	6729	24	6669
19.0	1.980015	5770	20	5678
20.0	1.980016	5326	21	5188
21.0	1.980017	4669	12	4651
22.0	1.980017	4181	12	4182
23.0	1.980017	4011	10	3906
24.0	1.980017	3571	12	3551
25.0	1.980017	3411	7	3298
26.0	1.980017	3028	6	3026
27.0	1.980017	2884	9	2868
28.0	1.980017	2712	3	2638
29.0	1.980017	2450	3	2428
30.0	1.980017	2340	5	2296
31.0	1.980017	2139	4	2112
32.0	1.980017	2085	4	2056
33.0	1.980017	1869	5	1839
34.0	1.980017	1789	6	1794
35.0	1.980017	1718	2	1686
36.0	1.980017	1653	1	1621
37.0	1.980017	1554	2	1561
38.0	1.980017	1480	2	1419
39.0	1.980017	1326	3	1274
40.0	1.980017	1293	4	1305
41.0	1.980017	1210	3	1214
42.0	1.980017	1175	1	1168
43.0	1.980017	1159	2	1105
44.0	1.980017	1076	3	1046
45.0	1.980017	1083	1	1024
46.0	1.980017	940	2	932
47.0	1.980017	901	1	931
48.0	1.980017	869	0	853
49.0	1.980017	856	1	867
50.0	1.980017	866	0	805
51.0	1.980017	750	0	782
52.0	1.980017	733	2	707
53.0	1.980017	733	1	693
54.0	1.980017	686	0	727
55.0	1.980017	665	0	629
56.0	1.980017	651	4	639
57.0	1.980017	602	0	562
58.0	1.980017	548	0	565
59.0	1.980017	575	0	582
60.0	1.980017	543	0	568
61.0	1.980017	533	3	518
62.0	1.980017	544	1	491
63.0	1.980017	520	1	533
64.0	1.980017	510	0	516
65.0	1.980017	493	0	476
