## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_39.FCHJKY5BBXX_L7_IACTTGA.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_39.FCHJKY5BBXX_L7_IACTTGA.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_39.FCHJKY5BBXX_L7_IACTTGA.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 11 14:38:52 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	50570502	13313060	0	0	17109680	433405	0.338333	57516658

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005397	28140156	0	28385631
2.0	1.422739	3908234	374166	3729065
3.0	1.595978	715123	14698	667208
4.0	1.66789	215953	2948	204829
5.0	1.69774	101933	1235	98943
6.0	1.710132	61462	592	60391
7.0	1.715275	42792	375	42178
8.0	1.71741	31826	201	31425
9.0	1.718296	24556	148	24314
10.0	1.718664	19693	116	19397
11.0	1.718817	16363	87	16301
12.0	1.71888	13997	59	13870
13.0	1.718907	11848	44	11746
14.0	1.718918	10414	25	10331
15.0	1.718922	9018	25	8924
16.0	1.718924	8055	32	8000
17.0	1.718925	7033	24	7006
18.0	1.718925	6392	18	6304
19.0	1.718925	5859	9	5844
20.0	1.718925	5304	4	5203
21.0	1.718925	4823	10	4810
22.0	1.718925	4458	11	4371
23.0	1.718925	4097	4	4052
24.0	1.718925	3681	5	3721
25.0	1.718925	3589	9	3515
26.0	1.718925	3113	1	3136
27.0	1.718925	3118	1	3077
28.0	1.718925	2795	4	2770
29.0	1.718925	2582	7	2530
30.0	1.718925	2464	2	2491
31.0	1.718925	2399	2	2333
32.0	1.718925	2202	0	2169
33.0	1.718925	2005	3	2046
34.0	1.718925	1950	0	1935
35.0	1.718925	1896	0	1831
36.0	1.718925	1732	2	1727
37.0	1.718925	1609	1	1618
38.0	1.718925	1568	2	1533
39.0	1.718925	1533	1	1519
40.0	1.718925	1390	0	1408
41.0	1.718925	1349	1	1315
42.0	1.718925	1279	0	1257
43.0	1.718925	1232	0	1278
44.0	1.718925	1258	1	1224
45.0	1.718925	1133	0	1108
46.0	1.718925	1072	1	1070
47.0	1.718925	1082	0	1073
48.0	1.718925	980	1	978
49.0	1.718925	989	0	949
50.0	1.718925	916	1	942
51.0	1.718925	907	0	890
52.0	1.718925	843	1	855
53.0	1.718925	834	1	802
54.0	1.718925	781	0	778
55.0	1.718925	811	0	787
56.0	1.718925	701	0	724
57.0	1.718925	708	0	710
58.0	1.718925	679	2	638
59.0	1.718925	654	0	658
60.0	1.718925	675	1	699
61.0	1.718925	645	2	625
62.0	1.718925	599	1	557
63.0	1.718925	574	0	558
64.0	1.718925	539	0	561
65.0	1.718925	527	0	561
66.0	1.718925	517	0	517
67.0	1.718925	542	0	529
68.0	1.718925	505	0	477
69.0	1.718925	492	1	470
70.0	1.718925	454	0	458
71.0	1.718925	442	1	473
72.0	1.718925	458	0	458
73.0	1.718925	440	0	383
74.0	1.718925	407	0	436
75.0	1.718925	412	0	420
76.0	1.718925	416	2	380
77.0	1.718925	389	0	385
78.0	1.718925	380	0	392
79.0	1.718925	347	0	356
80.0	1.718925	368	0	361
81.0	1.718925	361	0	381
82.0	1.718925	392	0	361
83.0	1.718925	318	0	336
84.0	1.718925	332	2	308
85.0	1.718925	295	1	276
86.0	1.718925	320	0	334
87.0	1.718925	279	0	285
88.0	1.718925	303	0	275
89.0	1.718925	316	0	326
90.0	1.718925	272	0	307
91.0	1.718925	280	0	263
92.0	1.718925	256	0	239
93.0	1.718925	278	0	268
94.0	1.718925	248	0	263
95.0	1.718925	264	0	245
96.0	1.718925	237	0	211
97.0	1.718925	261	0	262
98.0	1.718925	233	0	244
99.0	1.718925	210	0	229
100.0	1.718925	220	1	210
101.0	0	235	0	242
102.0	0	222	0	231
103.0	0	241	0	222
104.0	0	217	0	196
105.0	0	211	0	197
106.0	0	186	0	212
107.0	0	190	0	185
108.0	0	201	0	192
109.0	0	168	0	166
110.0	0	175	0	169
111.0	0	175	0	170
112.0	0	172	0	167
113.0	0	161	0	175
114.0	0	180	0	191
115.0	0	183	0	182
116.0	0	201	0	180
117.0	0	151	0	153
118.0	0	158	0	152
119.0	0	153	0	150
120.0	0	141	0	166
121.0	0	157	0	137
122.0	0	141	0	135
123.0	0	143	0	159
124.0	0	142	0	150
