## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_4.FCHJKY5BBXX_L1_IGATCAG.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_4.FCHJKY5BBXX_L1_IGATCAG.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_4.FCHJKY5BBXX_L1_IGATCAG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 11 14:36:27 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	45882827	10876618	0	0	14034547	580502	0.305878	60274008

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008555	27431072	0	27770070
2.0	1.479639	3262030	485340	3013060
3.0	1.699676	571440	25315	506660
4.0	1.802453	175567	4446	160173
5.0	1.850459	84440	1744	80240
6.0	1.872882	51323	814	49736
7.0	1.883356	36185	539	35354
8.0	1.888248	26855	326	26347
9.0	1.890533	21003	231	20680
10.0	1.8916	17377	157	17148
11.0	1.892099	14334	118	14193
12.0	1.892332	12169	79	11996
13.0	1.89244	10369	59	10232
14.0	1.892491	9065	53	8910
15.0	1.892515	7846	50	7752
16.0	1.892526	7037	32	6951
17.0	1.892531	6301	21	6226
18.0	1.892534	5546	25	5450
19.0	1.892535	5080	17	5056
20.0	1.892535	4541	17	4523
21.0	1.892536	4166	13	4110
22.0	1.892536	3900	14	3774
23.0	1.892536	3476	12	3502
24.0	1.892536	3277	10	3307
25.0	1.892536	3046	9	2944
26.0	1.892536	2834	5	2808
27.0	1.892536	2631	6	2601
28.0	1.892536	2399	5	2349
29.0	1.892536	2324	1	2318
30.0	1.892536	2149	4	2077
31.0	1.892536	1987	9	1979
32.0	1.892536	1900	2	1854
33.0	1.892536	1696	2	1738
34.0	1.892536	1700	3	1660
35.0	1.892536	1655	2	1630
36.0	1.892536	1491	0	1484
37.0	1.892536	1434	0	1384
38.0	1.892536	1336	2	1343
39.0	1.892536	1289	1	1257
40.0	1.892536	1235	2	1180
41.0	1.892536	1089	5	1093
42.0	1.892536	1122	2	1156
43.0	1.892536	1090	0	1024
44.0	1.892536	973	2	1006
45.0	1.892536	984	2	997
46.0	1.892536	976	2	934
47.0	1.892536	885	2	863
48.0	1.892536	840	1	834
49.0	1.892536	799	1	815
50.0	1.892536	777	0	728
51.0	1.892536	751	0	733
52.0	1.892536	663	1	682
53.0	1.892536	718	1	720
54.0	1.892536	714	2	704
55.0	1.892536	682	2	681
56.0	1.892536	657	2	611
57.0	1.892536	570	1	562
58.0	1.892536	547	0	547
59.0	1.892536	551	1	568
60.0	1.892536	568	0	564
61.0	1.892536	563	2	510
62.0	1.892536	479	0	512
63.0	1.892536	491	0	467
64.0	1.892536	487	1	481
65.0	1.892536	456	1	465
66.0	1.892536	484	1	471
67.0	1.892536	435	0	379
68.0	1.892536	377	1	406
69.0	1.892536	389	0	368
70.0	1.892536	364	2	376
