## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_48.FCHJKY5BBXX_L8_IATTCCT.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_48.FCHJKY5BBXX_L8_IATTCCT.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_48.FCHJKY5BBXX_L8_IATTCCT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 11 14:42:06 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	51911862	14042874	0	0	18700499	596260	0.360236	54364992

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006948	27748002	0	28075395
2.0	1.394481	3967115	494245	3727907
3.0	1.543627	751408	21925	688016
4.0	1.601027	231754	4736	217299
5.0	1.623118	109769	2023	105629
6.0	1.63162	65992	1071	64239
7.0	1.634892	45462	709	44730
8.0	1.636152	33664	440	33096
9.0	1.636636	26334	341	25921
10.0	1.636823	20942	215	20669
11.0	1.636895	17228	174	16949
12.0	1.636922	14708	132	14539
13.0	1.636933	12591	95	12469
14.0	1.636937	10853	91	10680
15.0	1.636939	9305	68	9179
16.0	1.636939	8366	60	8280
17.0	1.636939	7604	60	7557
18.0	1.636939	6691	40	6645
19.0	1.636939	6091	19	6003
20.0	1.636939	5521	18	5503
21.0	1.636939	5149	25	5050
22.0	1.63694	4633	16	4604
23.0	1.63694	4250	18	4213
24.0	1.63694	3818	15	3785
25.0	1.63694	3634	15	3568
26.0	1.63694	3445	10	3358
27.0	1.63694	3110	13	3119
28.0	1.63694	3002	13	2958
29.0	1.63694	2766	11	2741
30.0	1.63694	2492	9	2528
31.0	1.63694	2394	7	2331
32.0	1.63694	2273	8	2245
33.0	1.63694	2179	6	2145
34.0	1.63694	2062	2	2077
35.0	1.63694	1961	1	1939
36.0	1.63694	1827	6	1797
37.0	1.63694	1753	1	1725
38.0	1.63694	1603	5	1569
39.0	1.63694	1633	4	1620
40.0	1.63694	1547	0	1533
41.0	1.63694	1424	2	1431
42.0	1.63694	1416	0	1406
43.0	1.63694	1342	3	1336
44.0	1.63694	1305	1	1266
45.0	1.63694	1208	0	1196
46.0	1.63694	1095	0	1093
47.0	1.63694	1117	1	1130
48.0	1.63694	1089	2	1062
49.0	1.63694	1039	0	995
50.0	1.63694	962	1	977
51.0	1.63694	943	0	921
52.0	1.63694	949	1	897
53.0	1.63694	851	0	871
54.0	1.63694	831	3	795
55.0	1.63694	794	2	833
56.0	1.63694	781	2	739
57.0	1.63694	723	2	685
58.0	1.63694	706	1	741
59.0	1.63694	695	0	726
60.0	1.63694	696	0	697
61.0	1.63694	709	1	676
62.0	1.63694	647	0	625
63.0	1.63694	637	0	634
64.0	1.63694	605	0	596
