## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 03_addRG/bam/APOE_3M_5.FCHJKY5BBXX_L1_ITAGCTT.bam --OUTPUT 04_markDuplicates/bam/APOE_3M_5.FCHJKY5BBXX_L1_ITAGCTT.bam --METRICS_FILE 04_markDuplicates/metrics/APOE_3M_5.FCHJKY5BBXX_L1_ITAGCTT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 12 16:55:21 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	69287556	16940936	0	0	23354621	1144422	0.337068	80310541

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.010589	38457299	0	39082954
2.0	1.43706	5493271	916719	5057712
3.0	1.617032	1039784	55052	907608
4.0	1.69298	311442	10424	276297
5.0	1.72503	140627	4007	130113
6.0	1.738555	81686	2188	77876
7.0	1.744263	55464	1378	53376
8.0	1.746672	40196	865	39242
9.0	1.747688	31539	581	30885
10.0	1.748117	24902	458	24324
11.0	1.748298	20967	325	20555
12.0	1.748375	17386	290	17117
13.0	1.748407	15212	222	14818
14.0	1.74842	13079	161	12911
15.0	1.748426	11396	106	11269
16.0	1.748429	10180	129	10092
17.0	1.74843	9197	107	9079
18.0	1.74843	8268	82	8123
19.0	1.74843	7478	60	7261
20.0	1.74843	6590	49	6593
21.0	1.74843	6189	47	6016
22.0	1.74843	5663	36	5616
23.0	1.74843	5203	27	5211
24.0	1.74843	4808	21	4704
25.0	1.74843	4515	25	4360
26.0	1.74843	4046	16	4061
27.0	1.74843	3895	24	3825
28.0	1.74843	3620	16	3605
29.0	1.74843	3366	15	3276
30.0	1.74843	3193	16	3133
31.0	1.74843	3004	10	2970
32.0	1.74843	2927	17	2793
33.0	1.74843	2566	8	2619
34.0	1.74843	2541	9	2441
35.0	1.74843	2320	13	2339
36.0	1.74843	2264	9	2190
37.0	1.74843	2145	11	2087
38.0	1.74843	1993	11	1973
39.0	1.74843	1904	12	1968
40.0	1.74843	1916	9	1842
41.0	1.74843	1730	8	1679
42.0	1.74843	1699	2	1650
43.0	1.74843	1546	6	1549
44.0	1.74843	1512	3	1541
45.0	1.74843	1531	5	1482
46.0	1.74843	1386	7	1402
47.0	1.74843	1397	3	1391
48.0	1.74843	1327	1	1292
49.0	1.74843	1301	3	1255
50.0	1.74843	1132	1	1123
51.0	1.74843	1170	6	1130
52.0	1.74843	1135	5	1078
53.0	1.74843	1025	1	1043
54.0	1.74843	1050	2	1054
55.0	1.74843	1030	2	953
56.0	1.74843	930	2	945
57.0	1.74843	896	3	877
58.0	1.74843	895	0	865
59.0	1.74843	860	3	872
60.0	1.74843	852	0	800
61.0	1.74843	821	4	787
62.0	1.74843	751	1	847
63.0	1.74843	796	0	717
64.0	1.74843	708	1	747
65.0	1.74843	742	1	724
66.0	1.74843	721	4	732
67.0	1.74843	702	1	674
68.0	1.74843	697	2	688
69.0	1.74843	640	0	588
70.0	1.74843	622	1	630
71.0	1.74843	619	1	571
72.0	1.74843	574	0	596
73.0	1.74843	543	0	566
74.0	1.74843	600	1	555
75.0	1.74843	558	0	573
76.0	1.74843	536	0	511
77.0	1.74843	534	0	525
78.0	1.74843	511	3	509
79.0	1.74843	493	1	440
80.0	1.74843	433	0	467
81.0	1.74843	452	1	454
82.0	1.74843	468	2	411
83.0	1.74843	422	1	445
84.0	1.74843	458	1	449
85.0	1.74843	429	1	426
86.0	1.74843	426	1	419
87.0	1.74843	389	1	378
88.0	1.74843	384	1	387
89.0	1.74843	423	0	415
90.0	1.74843	371	0	335
91.0	1.74843	371	0	369
92.0	1.74843	310	0	363
93.0	1.74843	366	0	356
94.0	1.74843	349	0	372
95.0	1.74843	375	0	338
96.0	1.74843	376	0	342
97.0	1.74843	314	0	318
98.0	1.74843	325	0	311
99.0	1.74843	317	0	298
100.0	1.74843	307	0	309
101.0	0	284	0	278
102.0	0	297	0	285
103.0	0	272	0	276
104.0	0	290	1	256
105.0	0	262	0	298
106.0	0	282	0	268
107.0	0	264	0	237
108.0	0	265	1	280
109.0	0	262	2	270
110.0	0	249	0	223
111.0	0	229	0	249
112.0	0	244	0	226
113.0	0	221	0	232
114.0	0	232	0	225
115.0	0	244	0	236
116.0	0	212	0	197
117.0	0	221	0	227
118.0	0	227	1	225
119.0	0	219	0	251
120.0	0	227	0	198
121.0	0	210	0	204
122.0	0	216	1	208
123.0	0	188	0	189
124.0	0	199	0	203
125.0	0	204	0	178
126.0	0	193	0	174
127.0	0	163	1	178
128.0	0	167	0	158
129.0	0	176	0	180
130.0	0	159	0	155
131.0	0	185	1	159
132.0	0	162	1	162
133.0	0	149	0	165
134.0	0	156	0	154
135.0	0	166	0	156
136.0	0	152	1	179
137.0	0	146	1	135
138.0	0	154	0	157
139.0	0	158	0	176
140.0	0	168	0	147
141.0	0	160	0	141
142.0	0	135	0	145
143.0	0	146	1	111
144.0	0	132	0	156
145.0	0	146	0	128
146.0	0	144	1	121
147.0	0	128	1	133
