# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d results/03_addRG/bam/APOE_3M_8.FCHJKY5BBXX_L2_IGTTTCG.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	77cb00ec	e416e0fa	931fddf4
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	78862304
SN	filtered sequences:	0
SN	sequences:	78862304
SN	is sorted:	1
SN	1st fragments:	39431152
SN	last fragments:	39431152
SN	reads mapped:	78862304
SN	reads mapped and paired:	78862304	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	78862304	# proper-pair bit set
SN	reads paired:	78862304	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	480502	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	10078058
SN	total length:	4020554244	# ignores clipping
SN	total first fragment length:	2010331634	# ignores clipping
SN	total last fragment length:	2010222610	# ignores clipping
SN	bases mapped:	4020554244	# ignores clipping
SN	bases mapped (cigar):	3998826248	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	50
SN	average first fragment length:	51
SN	average last fragment length:	51
SN	maximum length:	51
SN	maximum first fragment length:	51
SN	maximum last fragment length:	51
SN	average quality:	38.9
SN	insert size average:	866.3
SN	insert size standard deviation:	1817.2
SN	inward oriented pairs:	39423138
SN	outward oriented pairs:	8014
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	92770	0	0	0	0	0	0	0	0	0	571336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938209	0	0	0	0	37828835	0	0	0	0	1	0	0	0	1	0
FFQ	2	0	0	9049	0	0	0	0	0	0	0	0	0	531031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896619	0	0	0	0	37994386	0	0	0	0	67	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	526749	0	0	0	0	0	0	0	0	0	55	0	0	0	0	929106	0	0	0	0	7776899	0	0	0	0	30198343	0	0	0	0	0
FFQ	4	0	0	2623	0	0	0	0	0	0	0	0	0	502340	0	0	0	0	0	0	0	0	0	38670	0	0	0	0	868119	0	0	0	0	3202667	0	0	0	0	34816733	0	0	0	0	0
FFQ	5	0	0	480	0	0	0	0	0	0	0	0	0	437529	0	0	0	0	0	0	0	0	0	98035	0	0	0	0	670609	0	0	0	0	2092667	0	0	0	0	36131828	0	0	0	4	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	430687	0	0	0	0	0	0	0	0	0	118117	0	0	0	0	565834	0	0	0	0	1832198	0	0	0	0	4218067	0	0	0	32266249	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	478355	0	0	0	0	0	0	0	0	0	157255	0	0	0	0	532453	0	0	0	0	1737021	0	0	0	0	3908620	0	0	0	32617448	0
FFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	353193	0	0	0	0	0	0	0	0	0	143774	0	0	0	0	490819	0	0	0	0	1650804	0	0	0	0	3634857	0	0	0	33157705	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	313331	0	0	0	0	0	0	0	0	0	186971	0	0	0	0	440035	0	0	0	0	1460882	0	0	0	0	3345925	0	0	0	33684008	0
FFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	282347	0	0	0	0	0	0	0	0	0	191159	0	0	0	0	411451	0	0	0	0	1360592	0	0	0	0	3183445	0	0	0	34002158	0
