## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_1.FCHJKY5BBXX_L1_IATCACG.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_1.FCHJKY5BBXX_L1_IATCACG.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_1.FCHJKY5BBXX_L1_IATCACG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:50:16 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	47277290	12299612	0	0	16791391	563205	0.355168	50542728

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00729	26362221	0	26673537
2.0	1.402583	2999863	449460	2766096
3.0	1.557709	519652	24924	463442
4.0	1.618585	164170	5323	151362
5.0	1.642475	81909	2197	78479
6.0	1.65185	51977	1181	50667
7.0	1.655529	36964	712	36351
8.0	1.656973	28277	446	27839
9.0	1.657539	22440	336	22100
10.0	1.657762	18151	230	17908
11.0	1.657849	15365	193	15170
12.0	1.657883	13120	123	12992
13.0	1.657896	11228	100	11235
14.0	1.657902	9957	77	9755
15.0	1.657904	8695	71	8597
16.0	1.657905	7689	52	7642
17.0	1.657905	7040	55	6900
18.0	1.657905	6269	38	6124
19.0	1.657905	5667	40	5680
20.0	1.657905	5120	26	5153
21.0	1.657905	4780	24	4709
22.0	1.657905	4435	20	4363
23.0	1.657905	3988	23	3946
24.0	1.657905	3844	23	3856
25.0	1.657905	3564	10	3542
26.0	1.657905	3288	18	3220
27.0	1.657905	3040	5	2967
28.0	1.657905	2868	8	2856
29.0	1.657905	2668	6	2616
30.0	1.657905	2493	9	2486
31.0	1.657905	2385	7	2405
32.0	1.657905	2255	10	2189
33.0	1.657905	2036	6	2027
34.0	1.657905	1911	7	1890
35.0	1.657905	1845	7	1822
36.0	1.657905	1752	7	1727
37.0	1.657905	1678	5	1667
38.0	1.657905	1624	2	1634
39.0	1.657905	1512	5	1504
40.0	1.657905	1527	3	1464
41.0	1.657905	1404	2	1467
42.0	1.657905	1438	2	1388
43.0	1.657905	1278	1	1237
44.0	1.657905	1196	0	1163
45.0	1.657905	1166	3	1177
46.0	1.657905	1144	4	1102
47.0	1.657905	1077	2	1098
48.0	1.657905	1068	0	1095
49.0	1.657905	1070	3	989
50.0	1.657905	912	0	923
51.0	1.657905	922	0	906
52.0	1.657905	861	0	857
53.0	1.657905	855	1	850
54.0	1.657905	764	6	792
55.0	1.657905	833	0	821
56.0	1.657905	784	3	761
57.0	1.657905	781	3	787
58.0	1.657905	720	0	711
59.0	1.657905	703	0	672
60.0	1.657905	688	0	683
61.0	1.657905	652	0	629
62.0	1.657905	620	1	627
63.0	1.657905	612	1	605
64.0	1.657905	607	0	603
