## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_11.FCHJKY5BBXX_L2_IACTGAT.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_11.FCHJKY5BBXX_L2_IACTGAT.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_11.FCHJKY5BBXX_L2_IACTGAT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:40:57 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	62931925	15197600	0	0	19622883	757038	0.311811	80465690

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008034	36775763	0	37241740
2.0	1.469155	4871037	658141	4507282
3.0	1.680093	848597	22431	772922
4.0	1.776586	255778	4622	240497
5.0	1.820726	121013	2071	116589
6.0	1.840918	73312	1056	71603
7.0	1.850154	49978	673	48928
8.0	1.85438	36918	424	36262
9.0	1.856312	28508	281	28172
10.0	1.857197	23079	212	22847
11.0	1.857601	18843	172	18606
12.0	1.857786	16128	107	15874
13.0	1.857871	13809	114	13591
14.0	1.857909	11710	69	11549
15.0	1.857927	10210	70	10067
16.0	1.857935	9216	29	9063
17.0	1.857939	8076	38	8070
18.0	1.857941	7388	35	7301
19.0	1.857941	6525	23	6407
20.0	1.857942	5943	26	5928
21.0	1.857942	5454	22	5409
22.0	1.857942	5068	18	5004
23.0	1.857942	4596	14	4518
24.0	1.857942	4229	11	4163
25.0	1.857942	3986	14	3960
26.0	1.857942	3658	9	3675
27.0	1.857942	3449	5	3419
28.0	1.857942	3259	7	3157
29.0	1.857942	2993	7	2959
30.0	1.857942	2856	4	2789
31.0	1.857942	2610	3	2576
32.0	1.857942	2419	4	2464
33.0	1.857942	2357	2	2311
34.0	1.857942	2151	1	2138
35.0	1.857942	2127	3	2096
36.0	1.857942	2000	2	1936
37.0	1.857942	1809	4	1838
38.0	1.857942	1853	2	1815
39.0	1.857942	1706	2	1698
40.0	1.857942	1596	2	1547
41.0	1.857942	1531	3	1491
42.0	1.857942	1433	2	1455
43.0	1.857942	1420	3	1373
44.0	1.857942	1292	2	1314
45.0	1.857942	1312	3	1272
46.0	1.857942	1174	3	1131
47.0	1.857942	1141	1	1221
48.0	1.857942	1156	2	1095
49.0	1.857942	1084	1	1077
50.0	1.857942	1049	2	1031
51.0	1.857942	1083	2	1033
52.0	1.857942	927	3	929
53.0	1.857942	927	0	922
54.0	1.857942	877	0	842
55.0	1.857942	818	0	828
56.0	1.857942	862	0	843
57.0	1.857942	790	1	815
58.0	1.857942	781	1	756
59.0	1.857942	755	1	720
60.0	1.857942	702	2	672
61.0	1.857942	650	1	685
62.0	1.857942	683	1	661
63.0	1.857942	640	1	646
64.0	1.857942	674	0	661
