## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_12.FCHJKY5BBXX_L2_IATTCCT.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_12.FCHJKY5BBXX_L2_IATTCCT.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_12.FCHJKY5BBXX_L2_IATTCCT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:50:17 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	57769031	13361730	0	0	17183901	635802	0.297459	78487039

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007535	35014277	0	35418481
2.0	1.490154	4133286	557920	3807367
3.0	1.721334	701295	17918	642888
4.0	1.832072	224522	3643	213892
5.0	1.885116	111254	1564	107926
6.0	1.910525	68206	883	66792
7.0	1.922696	47067	502	46129
8.0	1.928526	34573	341	34123
9.0	1.931319	26544	212	26131
10.0	1.932657	21788	148	21437
11.0	1.933297	17656	122	17516
12.0	1.933604	14803	101	14566
13.0	1.933751	12590	60	12428
14.0	1.933822	10903	54	10725
15.0	1.933856	9491	53	9411
16.0	1.933872	8430	40	8314
17.0	1.933879	7401	25	7296
18.0	1.933883	6576	15	6595
19.0	1.933885	5998	26	5907
20.0	1.933886	5377	20	5344
21.0	1.933886	4944	9	4861
22.0	1.933886	4528	10	4488
23.0	1.933887	4118	11	4111
24.0	1.933887	3891	15	3818
25.0	1.933887	3611	6	3547
26.0	1.933887	3266	7	3222
27.0	1.933887	3002	3	2986
28.0	1.933887	2889	7	2858
29.0	1.933887	2647	3	2598
30.0	1.933887	2474	4	2479
31.0	1.933887	2323	8	2335
32.0	1.933887	2224	3	2122
33.0	1.933887	2014	2	1991
34.0	1.933887	1880	10	1873
35.0	1.933887	1856	4	1859
36.0	1.933887	1740	1	1773
37.0	1.933887	1691	5	1584
38.0	1.933887	1535	3	1557
39.0	1.933887	1461	2	1460
40.0	1.933887	1423	0	1389
41.0	1.933887	1408	1	1425
42.0	1.933887	1347	2	1280
43.0	1.933887	1220	1	1211
44.0	1.933887	1132	3	1113
45.0	1.933887	1081	0	1081
46.0	1.933887	1032	0	1068
47.0	1.933887	1032	1	980
48.0	1.933887	994	0	993
49.0	1.933887	958	0	978
50.0	1.933887	948	0	889
51.0	1.933887	853	4	870
52.0	1.933887	860	0	820
53.0	1.933887	802	0	804
54.0	1.933887	784	0	807
55.0	1.933887	774	1	754
56.0	1.933887	755	3	696
57.0	1.933887	659	0	669
58.0	1.933887	642	0	638
59.0	1.933887	637	0	598
60.0	1.933887	557	0	583
61.0	1.933887	578	0	597
62.0	1.933887	580	0	540
63.0	1.933887	554	3	564
64.0	1.933887	539	2	502
65.0	1.933887	528	2	557
66.0	1.933887	550	0	528
67.0	1.933887	528	0	502
68.0	1.933887	444	0	458
69.0	1.933887	479	0	478
70.0	1.933887	420	0	397
71.0	1.933887	432	0	450
72.0	1.933887	437	0	428
73.0	1.933887	425	0	400
74.0	1.933887	406	0	420
75.0	1.933887	418	1	407
76.0	1.933887	366	1	351
77.0	1.933887	366	0	366
78.0	1.933887	346	0	359
79.0	1.933887	345	1	332
80.0	1.933887	359	0	340
