## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_15.FCHJKY5BBXX_L3_IACTTGA.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_15.FCHJKY5BBXX_L3_IACTTGA.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_15.FCHJKY5BBXX_L3_IACTTGA.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:40:45 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	52393415	11869984	0	0	16084635	417911	0.306997	67844485

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005334	30818130	0	31070833
2.0	1.469767	4080788	369604	3891172
3.0	1.68432	730706	12535	684384
4.0	1.783437	220948	2313	211080
5.0	1.829226	104183	909	101223
6.0	1.850379	61869	461	60875
7.0	1.860152	41965	278	41232
8.0	1.864666	30679	167	30384
9.0	1.866751	23900	117	23735
10.0	1.867715	18824	87	18579
11.0	1.86816	15385	56	15154
12.0	1.868366	12800	43	12758
13.0	1.868461	10995	46	10857
14.0	1.868504	9542	36	9569
15.0	1.868525	8171	22	8014
16.0	1.868534	7226	22	7175
17.0	1.868538	6491	12	6482
18.0	1.86854	5891	6	5824
19.0	1.868541	5251	11	5155
20.0	1.868542	4730	10	4737
21.0	1.868542	4160	8	4139
22.0	1.868542	3921	7	3843
23.0	1.868542	3571	4	3502
24.0	1.868542	3331	2	3354
25.0	1.868542	3073	2	3091
26.0	1.868542	2927	1	2853
27.0	1.868542	2557	3	2548
28.0	1.868542	2530	3	2580
29.0	1.868542	2386	5	2306
30.0	1.868542	2124	6	2074
31.0	1.868542	1935	0	1958
32.0	1.868542	1949	0	1938
33.0	1.868542	1748	0	1738
34.0	1.868542	1695	1	1696
35.0	1.868542	1657	1	1658
36.0	1.868542	1564	0	1493
37.0	1.868542	1397	2	1392
38.0	1.868542	1364	1	1388
39.0	1.868542	1306	0	1314
40.0	1.868542	1210	0	1180
41.0	1.868542	1246	3	1205
42.0	1.868542	1100	2	1122
43.0	1.868542	1063	0	1034
44.0	1.868542	987	0	997
45.0	1.868542	956	1	939
46.0	1.868542	957	2	965
47.0	1.868542	875	0	852
48.0	1.868542	870	0	889
49.0	1.868542	798	1	782
50.0	1.868542	774	0	767
51.0	1.868542	755	0	743
52.0	1.868542	714	1	734
53.0	1.868542	758	0	726
54.0	1.868542	667	1	663
55.0	1.868542	647	0	638
56.0	1.868542	620	0	606
57.0	1.868542	579	0	580
58.0	1.868542	578	0	612
59.0	1.868542	587	0	548
60.0	1.868542	548	1	520
61.0	1.868542	516	1	535
62.0	1.868542	523	0	505
63.0	1.868542	481	0	516
64.0	1.868542	508	0	463
65.0	1.868542	491	0	487
66.0	1.868542	449	0	449
67.0	1.868542	418	1	409
68.0	1.868542	407	0	418
69.0	1.868542	420	0	430
70.0	1.868542	392	0	405
71.0	1.868542	438	1	411
72.0	1.868542	385	0	366
73.0	1.868542	358	0	340
74.0	1.868542	336	0	322
75.0	1.868542	335	1	352
76.0	1.868542	303	0	301
77.0	1.868542	309	0	328
78.0	1.868542	340	1	317
79.0	1.868542	325	0	343
80.0	1.868542	298	0	301
81.0	1.868542	319	0	326
82.0	1.868542	270	0	261
83.0	1.868542	280	0	259
84.0	1.868542	278	0	263
85.0	1.868542	256	2	273
86.0	1.868542	251	0	264
87.0	1.868542	277	0	257
88.0	1.868542	240	0	246
89.0	1.868542	247	0	246
90.0	1.868542	219	0	210
91.0	1.868542	231	0	227
92.0	1.868542	209	0	220
93.0	1.868542	241	1	223
94.0	1.868542	235	0	237
95.0	1.868542	205	0	229
96.0	1.868542	222	0	202
97.0	1.868542	206	0	210
98.0	1.868542	198	0	188
99.0	1.868542	203	0	209
