## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_16.FCHJKY5BBXX_L3_IGATCAG.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_16.FCHJKY5BBXX_L3_IGATCAG.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_16.FCHJKY5BBXX_L3_IGATCAG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 18:30:20 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	49082435	12661854	0	0	16745208	369573	0.341165	55094076

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.004705	28069581	0	28286704
2.0	1.416928	3111702	314760	2940524
3.0	1.58606	531349	12427	496914
4.0	1.655454	173462	2675	167158
5.0	1.683926	87599	1154	85742
6.0	1.695608	55501	599	54572
7.0	1.700401	39234	392	38890
8.0	1.702367	29265	219	29036
9.0	1.703174	23083	158	22744
10.0	1.703505	18703	126	18641
11.0	1.703641	15537	87	15484
12.0	1.703697	13395	64	13304
13.0	1.703719	11369	50	11195
14.0	1.703729	9967	21	9880
15.0	1.703733	8494	32	8469
16.0	1.703734	7731	23	7654
17.0	1.703735	6777	22	6734
18.0	1.703735	6284	19	6239
19.0	1.703735	5755	12	5751
20.0	1.703735	5134	7	5090
21.0	1.703735	4655	9	4546
22.0	1.703735	4167	10	4142
23.0	1.703735	3944	3	3973
24.0	1.703735	3782	7	3761
25.0	1.703735	3419	6	3415
26.0	1.703735	3149	6	3121
27.0	1.703735	3029	5	2985
28.0	1.703735	2800	5	2797
29.0	1.703735	2586	2	2565
30.0	1.703735	2467	5	2401
31.0	1.703735	2297	0	2345
32.0	1.703735	2153	2	2087
33.0	1.703735	2024	1	2078
34.0	1.703735	1948	2	1882
35.0	1.703735	1858	0	1865
36.0	1.703735	1718	1	1732
37.0	1.703735	1680	3	1656
38.0	1.703735	1659	1	1626
39.0	1.703735	1484	1	1463
40.0	1.703735	1426	1	1439
41.0	1.703735	1320	3	1294
42.0	1.703735	1270	1	1251
43.0	1.703735	1276	1	1300
44.0	1.703735	1241	2	1192
45.0	1.703735	1135	1	1145
46.0	1.703735	1086	0	1087
47.0	1.703735	1067	1	1068
48.0	1.703735	1067	1	1044
49.0	1.703735	1001	1	984
50.0	1.703735	974	0	954
51.0	1.703735	870	0	890
52.0	1.703735	890	0	919
53.0	1.703735	870	1	857
54.0	1.703735	885	0	832
55.0	1.703735	733	0	748
56.0	1.703735	772	0	726
57.0	1.703735	694	0	729
58.0	1.703735	751	2	741
59.0	1.703735	716	0	721
60.0	1.703735	657	1	659
61.0	1.703735	644	1	623
62.0	1.703735	597	0	597
63.0	1.703735	613	0	575
64.0	1.703735	527	1	567
65.0	1.703735	600	0	592
66.0	1.703735	556	0	548
67.0	1.703735	540	1	520
68.0	1.703735	488	0	490
69.0	1.703735	498	0	530
70.0	1.703735	485	1	443
71.0	1.703735	495	0	512
72.0	1.703735	498	0	475
73.0	1.703735	424	0	426
74.0	1.703735	424	0	429
75.0	1.703735	423	0	415
76.0	1.703735	420	0	426
77.0	1.703735	417	0	374
78.0	1.703735	383	0	404
79.0	1.703735	354	0	352
80.0	1.703735	383	0	396
81.0	1.703735	397	0	377
82.0	1.703735	351	1	371
83.0	1.703735	358	1	331
84.0	1.703735	355	0	354
85.0	1.703735	329	0	356
86.0	1.703735	354	0	332
87.0	1.703735	348	0	326
88.0	1.703735	270	0	280
89.0	1.703735	294	0	292
90.0	1.703735	301	0	292
91.0	1.703735	282	0	290
92.0	1.703735	272	1	270
93.0	1.703735	283	0	281
94.0	1.703735	256	0	274
95.0	1.703735	269	0	241
96.0	1.703735	253	1	266
97.0	1.703735	274	0	256
98.0	1.703735	229	0	241
99.0	1.703735	254	2	238
100.0	1.703735	225	0	224
101.0	0	241	0	253
102.0	0	246	2	237
103.0	0	238	0	262
104.0	0	257	1	232
105.0	0	235	0	210
106.0	0	209	0	222
107.0	0	192	0	197
