## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_17.FCHJKY5BBXX_L3_ITAGCTT.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_17.FCHJKY5BBXX_L3_ITAGCTT.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_17.FCHJKY5BBXX_L3_ITAGCTT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 19:16:30 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	70779211	16846934	0	0	24548557	740793	0.346833	78039041

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.0065	38296072	0	38711595
2.0	1.41287	5848377	625994	5550940
3.0	1.576939	1108065	25496	1022762
4.0	1.643182	327264	5017	307194
5.0	1.669927	148891	2190	143526
6.0	1.680725	87676	1187	85746
7.0	1.685085	59186	699	58060
8.0	1.686845	43018	459	42332
9.0	1.687555	33278	358	32706
10.0	1.687842	26170	240	25878
11.0	1.687958	21520	186	21189
12.0	1.688005	17715	148	17573
13.0	1.688024	15402	106	15244
14.0	1.688032	13170	77	12991
15.0	1.688035	11501	89	11390
16.0	1.688036	10292	54	10192
17.0	1.688036	9205	42	9090
18.0	1.688037	8344	40	8269
19.0	1.688037	7272	33	7167
20.0	1.688037	6609	26	6583
21.0	1.688037	5881	26	5765
22.0	1.688037	5664	23	5646
23.0	1.688037	5131	28	5034
24.0	1.688037	4707	19	4663
25.0	1.688037	4396	25	4416
26.0	1.688037	4014	9	3946
27.0	1.688037	3664	9	3623
28.0	1.688037	3524	10	3506
29.0	1.688037	3294	10	3228
30.0	1.688037	3007	5	3020
31.0	1.688037	2872	6	2816
32.0	1.688037	2648	9	2587
33.0	1.688037	2523	6	2533
34.0	1.688037	2417	8	2415
35.0	1.688037	2279	7	2244
36.0	1.688037	2146	1	2093
37.0	1.688037	2019	5	2054
38.0	1.688037	1923	1	1923
39.0	1.688037	1868	4	1809
40.0	1.688037	1722	1	1686
41.0	1.688037	1631	1	1589
42.0	1.688037	1565	3	1570
43.0	1.688037	1560	5	1530
44.0	1.688037	1500	2	1511
45.0	1.688037	1357	4	1329
46.0	1.688037	1288	2	1330
47.0	1.688037	1302	3	1263
48.0	1.688037	1231	1	1173
49.0	1.688037	1158	0	1147
50.0	1.688037	1071	3	1097
51.0	1.688037	1050	0	1068
52.0	1.688037	1079	3	1027
53.0	1.688037	1004	2	1013
54.0	1.688037	962	1	964
55.0	1.688037	901	0	923
56.0	1.688037	983	1	913
57.0	1.688037	876	2	874
58.0	1.688037	802	0	787
59.0	1.688037	822	0	811
60.0	1.688037	806	1	807
61.0	1.688037	729	3	718
62.0	1.688037	789	1	766
63.0	1.688037	688	0	703
64.0	1.688037	694	0	714
65.0	1.688037	718	0	681
66.0	1.688037	645	0	659
67.0	1.688037	654	4	643
68.0	1.688037	660	2	657
69.0	1.688037	613	1	563
70.0	1.688037	577	1	564
71.0	1.688037	544	1	585
72.0	1.688037	524	1	536
73.0	1.688037	551	0	563
74.0	1.688037	580	0	558
75.0	1.688037	557	0	528
76.0	1.688037	505	0	501
77.0	1.688037	520	1	524
78.0	1.688037	496	0	472
79.0	1.688037	483	3	448
80.0	1.688037	407	0	458
81.0	1.688037	448	0	408
82.0	1.688037	400	1	387
83.0	1.688037	419	1	419
84.0	1.688037	433	0	416
85.0	1.688037	387	0	381
86.0	1.688037	386	1	389
87.0	1.688037	382	0	382
88.0	1.688037	367	0	353
89.0	1.688037	345	0	391
90.0	1.688037	365	1	354
91.0	1.688037	376	0	358
92.0	1.688037	322	0	330
93.0	1.688037	343	1	320
94.0	1.688037	319	0	310
95.0	1.688037	317	0	349
96.0	1.688037	313	0	302
97.0	1.688037	346	0	321
98.0	1.688037	293	0	274
99.0	1.688037	277	0	270
100.0	1.688037	271	0	288
101.0	0	274	0	268
102.0	0	265	1	277
103.0	0	262	1	254
104.0	0	272	2	248
105.0	0	231	1	242
106.0	0	250	1	268
107.0	0	266	0	264
108.0	0	252	0	259
109.0	0	253	0	222
110.0	0	231	0	233
111.0	0	232	0	229
112.0	0	247	0	217
113.0	0	214	0	203
114.0	0	198	0	192
115.0	0	169	0	220
