## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_20.FCHJKY5BBXX_L4_IGTTTCG.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_20.FCHJKY5BBXX_L4_IGTTTCG.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_20.FCHJKY5BBXX_L4_IGTTTCG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:50:21 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	47927037	10782928	0	0	12904554	518847	0.269254	74123598

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007788	30257080	0	30591842
2.0	1.5357	3551484	464329	3290222
3.0	1.812238	608667	15642	553884
4.0	1.957097	190691	2414	179881
5.0	2.032979	93661	978	90610
6.0	2.072729	57356	515	56152
7.0	2.093551	39347	267	38639
8.0	2.104458	28802	162	28302
9.0	2.110172	22343	118	22111
10.0	2.113165	17577	71	17344
11.0	2.114733	14647	47	14473
12.0	2.115554	12138	61	11964
13.0	2.115984	10541	43	10389
14.0	2.11621	8990	28	8817
15.0	2.116328	7573	20	7513
16.0	2.11639	6740	10	6643
17.0	2.116422	5946	16	5857
18.0	2.116439	5289	13	5279
19.0	2.116448	4798	6	4741
20.0	2.116452	4223	6	4160
21.0	2.116455	3936	7	3941
22.0	2.116456	3576	4	3468
23.0	2.116457	3212	4	3219
24.0	2.116457	3001	3	2933
25.0	2.116457	2767	5	2705
26.0	2.116457	2433	3	2447
27.0	2.116457	2366	2	2371
28.0	2.116458	2258	3	2155
29.0	2.116458	2002	0	2023
30.0	2.116458	1922	2	1914
31.0	2.116458	1752	3	1703
32.0	2.116458	1695	1	1678
33.0	2.116458	1555	3	1526
34.0	2.116458	1467	2	1453
35.0	2.116458	1405	1	1379
36.0	2.116458	1264	0	1267
37.0	2.116458	1175	2	1174
38.0	2.116458	1153	1	1147
39.0	2.116458	1059	2	1044
40.0	2.116458	1096	2	1058
41.0	2.116458	928	0	943
42.0	2.116458	966	1	942
43.0	2.116458	879	0	847
44.0	2.116458	833	0	825
45.0	2.116458	855	0	867
46.0	2.116458	759	1	722
47.0	2.116458	755	1	732
48.0	2.116458	715	1	710
49.0	2.116458	672	0	701
50.0	2.116458	630	0	627
51.0	2.116458	642	1	630
52.0	2.116458	625	0	600
53.0	2.116458	546	0	539
54.0	2.116458	569	1	543
55.0	2.116458	524	0	543
56.0	2.116458	548	0	525
57.0	2.116458	473	1	482
58.0	2.116458	478	0	428
59.0	2.116458	416	0	433
60.0	2.116458	412	0	410
61.0	2.116458	415	0	442
62.0	2.116458	404	0	415
63.0	2.116458	413	1	418
64.0	2.116458	437	0	390
65.0	2.116458	405	0	378
66.0	2.116458	354	0	347
67.0	2.116458	331	0	331
68.0	2.116458	324	0	332
69.0	2.116458	325	0	318
70.0	2.116458	292	2	298
71.0	2.116458	304	0	307
72.0	2.116458	314	0	313
73.0	2.116458	310	1	285
74.0	2.116458	263	0	278
75.0	2.116458	272	0	252
76.0	2.116458	249	0	258
77.0	2.116458	266	0	278
78.0	2.116458	257	0	229
79.0	2.116458	255	0	267
80.0	2.116458	269	1	255
81.0	2.116458	222	0	235
82.0	2.116458	232	0	220
83.0	2.116458	230	0	240
84.0	2.116458	220	0	223
85.0	2.116458	211	0	209
86.0	2.116458	207	0	193
87.0	2.116458	213	0	196
88.0	2.116458	197	0	178
89.0	2.116458	174	0	164
90.0	2.116458	169	0	181
91.0	2.116458	169	0	184
92.0	2.116458	172	0	169
93.0	2.116458	178	0	165
94.0	2.116458	166	0	178
95.0	2.116458	145	0	159
96.0	2.116458	179	0	157
97.0	2.116458	161	0	168
98.0	2.116458	154	0	137
99.0	2.116458	166	0	166
100.0	2.116458	132	0	126
101.0	0	125	0	133
102.0	0	143	0	123
103.0	0	126	0	138
104.0	0	141	0	136
105.0	0	116	0	102
106.0	0	134	0	137
107.0	0	116	0	114
108.0	0	116	0	126
109.0	0	123	0	129
110.0	0	114	0	96
111.0	0	103	0	103
112.0	0	100	0	108
113.0	0	106	0	112
114.0	0	106	0	118
115.0	0	134	0	106
116.0	0	100	0	98
117.0	0	109	0	120
118.0	0	104	0	104
119.0	0	111	0	85
120.0	0	92	0	87
121.0	0	93	0	104
122.0	0	114	0	97
123.0	0	82	0	76
124.0	0	73	0	91
125.0	0	95	0	78
126.0	0	66	0	63
127.0	0	84	0	86
128.0	0	73	0	78
129.0	0	74	0	78
130.0	0	75	0	71
131.0	0	66	0	73
132.0	0	75	0	80
133.0	0	71	0	72
134.0	0	81	0	81
135.0	0	79	0	60
136.0	0	63	0	73
137.0	0	57	0	61
138.0	0	70	0	68
139.0	0	63	0	56
140.0	0	67	0	70
141.0	0	69	0	72
142.0	0	68	0	60
143.0	0	57	0	59
144.0	0	66	0	44
145.0	0	52	0	57
146.0	0	55	0	71
147.0	0	68	0	61
148.0	0	53	0	65
149.0	0	72	0	49
150.0	0	60	0	61
151.0	0	47	0	47
152.0	0	49	0	59
153.0	0	49	0	59
154.0	0	62	0	53
155.0	0	53	0	51
156.0	0	48	0	48
157.0	0	60	0	50
158.0	0	44	0	53
159.0	0	51	0	39
160.0	0	44	0	49
161.0	0	49	0	51
162.0	0	53	0	41
