## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_22.FCHJKY5BBXX_L4_IGAGTGG.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_22.FCHJKY5BBXX_L4_IGAGTGG.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_22.FCHJKY5BBXX_L4_IGAGTGG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:51:45 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	57329230	13460084	0	0	17785677	744169	0.310238	73943307

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008711	33265141	0	33711624
2.0	1.473282	4669419	642058	4337266
3.0	1.687245	848041	25905	764588
4.0	1.785788	252712	4672	234404
5.0	1.831172	116457	1903	111000
6.0	1.852075	68236	1001	66414
7.0	1.861702	45858	613	44625
8.0	1.866135	33480	436	32912
9.0	1.868177	26138	274	25693
10.0	1.869118	20804	187	20366
11.0	1.869551	17083	149	16897
12.0	1.86975	14125	104	13940
13.0	1.869842	12099	72	11994
14.0	1.869885	10650	61	10410
15.0	1.869904	9151	47	9052
16.0	1.869913	8214	45	8145
17.0	1.869917	7186	47	7051
18.0	1.869919	6355	24	6237
19.0	1.86992	5697	23	5639
20.0	1.86992	5241	22	5212
21.0	1.869921	4800	16	4723
22.0	1.869921	4317	13	4280
23.0	1.869921	4129	19	4083
24.0	1.869921	3796	11	3749
25.0	1.869921	3407	8	3365
26.0	1.869921	3152	13	3120
27.0	1.869921	2965	7	2907
28.0	1.869921	2789	5	2742
29.0	1.869921	2605	5	2519
30.0	1.869921	2340	8	2334
31.0	1.869921	2264	4	2300
32.0	1.869921	2246	5	2227
33.0	1.869921	2083	4	2023
34.0	1.869921	1940	2	1885
35.0	1.869921	1812	2	1826
36.0	1.869921	1705	1	1697
37.0	1.869921	1610	5	1575
38.0	1.869921	1497	2	1470
39.0	1.869921	1458	1	1453
40.0	1.869921	1375	2	1323
41.0	1.869921	1312	1	1258
42.0	1.869921	1179	2	1213
43.0	1.869921	1206	0	1201
44.0	1.869921	1151	2	1164
45.0	1.869921	1113	1	1062
46.0	1.869921	1073	3	1068
47.0	1.869921	1005	0	998
48.0	1.869921	942	1	948
49.0	1.869921	902	0	848
50.0	1.869921	876	1	860
51.0	1.869921	837	3	878
52.0	1.869921	851	1	811
53.0	1.869921	783	0	775
54.0	1.869921	802	0	781
55.0	1.869921	763	2	732
56.0	1.869921	709	0	740
57.0	1.869921	698	0	705
58.0	1.869921	694	0	635
59.0	1.869921	653	1	644
60.0	1.869921	619	0	650
61.0	1.869921	606	0	595
62.0	1.869921	611	1	574
63.0	1.869921	567	0	600
64.0	1.869921	537	2	520
65.0	1.869921	552	0	558
66.0	1.869921	520	1	476
67.0	1.869921	477	2	486
68.0	1.869921	499	0	470
69.0	1.869921	491	2	488
70.0	1.869921	427	0	430
71.0	1.869921	464	0	457
72.0	1.869921	438	0	442
