## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_23.FCHJKY5BBXX_L4_IACTGAT.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_23.FCHJKY5BBXX_L4_IACTGAT.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_23.FCHJKY5BBXX_L4_IACTGAT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 18:55:23 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	55892200	13599962	0	0	20128929	807246	0.360138	58822284

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008788	29200513	0	29637146
2.0	1.398855	4802545	663899	4498802
3.0	1.549681	950478	30948	856326
4.0	1.608001	278693	5956	255465
5.0	1.630551	123390	2701	116560
6.0	1.639271	70748	1555	68012
7.0	1.642642	47260	947	46210
8.0	1.643946	34778	621	33788
9.0	1.64445	26273	422	25867
10.0	1.644645	21194	314	20826
11.0	1.64472	17385	223	17062
12.0	1.64475	14728	165	14423
13.0	1.644761	12644	162	12487
14.0	1.644765	10763	146	10586
15.0	1.644767	9226	103	9108
16.0	1.644768	8226	83	8020
17.0	1.644768	7136	47	7118
18.0	1.644768	6641	58	6572
19.0	1.644768	5940	52	5818
20.0	1.644768	5437	35	5399
21.0	1.644768	4946	35	4852
22.0	1.644768	4538	36	4437
23.0	1.644768	4087	30	4074
24.0	1.644768	3860	22	3760
25.0	1.644768	3450	26	3486
26.0	1.644768	3404	25	3324
27.0	1.644768	3037	16	2966
28.0	1.644768	2770	14	2729
29.0	1.644768	2607	16	2616
30.0	1.644768	2563	9	2494
31.0	1.644768	2321	5	2332
32.0	1.644768	2270	14	2207
33.0	1.644768	2137	9	2106
34.0	1.644768	1989	11	1921
35.0	1.644768	1922	4	1969
36.0	1.644768	1790	3	1799
37.0	1.644768	1727	3	1664
38.0	1.644768	1627	7	1579
39.0	1.644768	1473	11	1431
40.0	1.644768	1453	2	1454
41.0	1.644768	1381	2	1339
42.0	1.644768	1311	4	1342
43.0	1.644768	1299	3	1300
44.0	1.644768	1332	3	1302
45.0	1.644768	1153	2	1176
46.0	1.644768	1198	5	1148
47.0	1.644768	1081	9	1043
48.0	1.644768	1033	5	1003
49.0	1.644768	987	1	943
50.0	1.644768	953	5	993
51.0	1.644768	887	0	892
52.0	1.644768	884	2	858
53.0	1.644768	871	5	846
54.0	1.644768	820	1	843
55.0	1.644768	801	1	789
56.0	1.644768	769	0	743
57.0	1.644768	771	1	697
58.0	1.644768	682	2	671
59.0	1.644768	657	0	648
60.0	1.644768	630	0	656
61.0	1.644768	629	1	620
62.0	1.644768	615	2	647
63.0	1.644768	624	1	583
64.0	1.644768	600	1	562
65.0	1.644768	534	0	573
