## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_26.FCHJKY5BBXX_L5_ITTAGGC.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_26.FCHJKY5BBXX_L5_ITTAGGC.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_26.FCHJKY5BBXX_L5_ITTAGGC.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:50:16 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	49333664	12214492	0	0	15664614	461485	0.317524	61239199

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006148	29066876	0	29337305
2.0	1.455719	3381492	393609	3178804
3.0	1.656598	590357	17153	540689
4.0	1.746356	184537	3128	173696
5.0	1.786462	90329	1308	87293
6.0	1.804382	55968	669	54885
7.0	1.81239	39364	372	38787
8.0	1.815967	29594	232	29276
9.0	1.817566	23265	163	22943
10.0	1.81828	18626	111	18517
11.0	1.8186	15494	85	15262
12.0	1.818742	13212	81	13144
13.0	1.818806	11450	51	11316
14.0	1.818834	9826	38	9772
15.0	1.818847	8705	32	8643
16.0	1.818853	7755	15	7707
17.0	1.818855	6909	27	6800
18.0	1.818856	6056	14	5980
19.0	1.818857	5541	24	5498
20.0	1.818857	4966	18	4931
21.0	1.818857	4701	8	4639
22.0	1.818857	4270	9	4302
23.0	1.818857	3928	10	3894
24.0	1.818857	3542	5	3524
25.0	1.818857	3360	6	3260
26.0	1.818857	3034	6	3012
27.0	1.818857	2811	7	2765
28.0	1.818857	2662	1	2690
29.0	1.818857	2561	2	2513
30.0	1.818857	2361	2	2342
31.0	1.818857	2176	2	2141
32.0	1.818857	2041	4	2038
33.0	1.818857	1909	3	1896
34.0	1.818857	1855	1	1807
35.0	1.818857	1717	3	1727
36.0	1.818857	1681	3	1685
37.0	1.818857	1519	2	1518
38.0	1.818857	1551	0	1494
39.0	1.818857	1325	0	1347
40.0	1.818857	1331	1	1330
41.0	1.818857	1330	1	1292
42.0	1.818857	1200	2	1204
43.0	1.818857	1187	3	1164
44.0	1.818857	1124	0	1126
45.0	1.818857	1073	2	1038
46.0	1.818857	1059	2	1065
47.0	1.818857	995	2	968
48.0	1.818857	955	0	946
49.0	1.818857	931	0	908
50.0	1.818857	837	3	830
51.0	1.818857	830	0	862
52.0	1.818857	792	0	802
53.0	1.818857	784	2	745
54.0	1.818857	713	0	695
55.0	1.818857	731	1	737
56.0	1.818857	688	0	702
57.0	1.818857	719	2	691
58.0	1.818857	631	1	630
59.0	1.818857	635	1	606
60.0	1.818857	602	0	617
61.0	1.818857	543	1	543
62.0	1.818857	571	0	540
63.0	1.818857	548	1	564
64.0	1.818857	542	0	519
65.0	1.818857	487	0	516
