## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_29.FCHJKY5BBXX_L5_ITAGCTT.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_29.FCHJKY5BBXX_L5_ITAGCTT.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_29.FCHJKY5BBXX_L5_ITAGCTT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:40:50 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	70344694	15840238	0	0	21360994	946522	0.303662	93468590

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00915	40815356	0	41364531
2.0	1.4846	6046392	811760	5665097
3.0	1.708603	1154398	38535	1034941
4.0	1.814139	340147	6166	310377
5.0	1.863862	151492	2250	142925
6.0	1.887288	87114	1202	83924
7.0	1.898325	58040	665	56517
8.0	1.903525	41902	425	41023
9.0	1.905974	32211	291	31606
10.0	1.907129	25448	217	25027
11.0	1.907673	20975	173	20447
12.0	1.907929	17606	114	17421
13.0	1.908049	14801	85	14556
14.0	1.908106	12540	70	12442
15.0	1.908133	11151	51	10869
16.0	1.908146	9629	38	9550
17.0	1.908152	8455	32	8317
18.0	1.908155	7861	23	7763
19.0	1.908156	6850	29	6848
20.0	1.908156	6338	14	6250
21.0	1.908157	5711	18	5570
22.0	1.908157	5143	14	5144
23.0	1.908157	4766	15	4625
24.0	1.908157	4315	15	4224
25.0	1.908157	3964	11	3983
26.0	1.908157	3716	6	3666
27.0	1.908157	3477	6	3398
28.0	1.908157	3211	5	3106
29.0	1.908157	2928	2	2959
30.0	1.908157	2805	5	2743
31.0	1.908157	2587	5	2588
32.0	1.908157	2537	5	2473
33.0	1.908157	2330	3	2243
34.0	1.908157	2120	7	2150
35.0	1.908157	2028	3	2046
36.0	1.908157	2067	2	2011
37.0	1.908157	1955	2	1901
38.0	1.908157	1715	3	1704
39.0	1.908157	1634	2	1631
40.0	1.908157	1625	1	1624
41.0	1.908157	1547	2	1468
42.0	1.908157	1415	3	1367
43.0	1.908157	1340	4	1340
44.0	1.908157	1305	1	1314
45.0	1.908157	1291	1	1262
46.0	1.908157	1211	0	1210
47.0	1.908157	1125	0	1134
48.0	1.908157	1134	2	1101
49.0	1.908157	1080	0	1049
50.0	1.908157	1022	0	1009
51.0	1.908157	988	0	933
52.0	1.908157	900	1	960
53.0	1.908157	914	1	878
54.0	1.908157	897	0	873
55.0	1.908157	804	0	788
56.0	1.908157	779	2	784
57.0	1.908157	786	0	765
58.0	1.908157	776	0	765
59.0	1.908157	735	2	697
60.0	1.908157	724	0	664
61.0	1.908157	625	0	661
62.0	1.908157	612	1	619
63.0	1.908157	627	0	608
64.0	1.908157	603	0	596
