## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_3.FCHJKY5BBXX_L1_IACTTGA.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_3.FCHJKY5BBXX_L1_IACTTGA.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_3.FCHJKY5BBXX_L1_IACTTGA.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 18:55:28 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	55783035	13734680	0	0	19355652	760431	0.346981	61788611

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.008516	31347425	0	31768543
2.0	1.417399	3712944	604053	3400691
3.0	1.583173	652420	34951	574299
4.0	1.650383	203906	7140	185313
5.0	1.677632	98784	2852	93892
6.0	1.68868	61334	1591	59176
7.0	1.693159	43280	997	42376
8.0	1.694975	33027	630	32443
9.0	1.695711	25837	443	25421
10.0	1.69601	20967	307	20629
11.0	1.696131	17582	278	17277
12.0	1.69618	14649	184	14487
13.0	1.6962	12938	163	12757
14.0	1.696208	11251	135	11186
15.0	1.696211	9976	96	9906
16.0	1.696212	8866	81	8749
17.0	1.696213	7911	62	7759
18.0	1.696213	7240	53	7143
19.0	1.696213	6459	52	6462
20.0	1.696213	5937	32	5808
21.0	1.696213	5386	40	5423
22.0	1.696213	5079	39	4938
23.0	1.696213	4635	22	4653
24.0	1.696213	4268	21	4110
25.0	1.696213	3965	22	3973
26.0	1.696213	3731	15	3666
27.0	1.696213	3463	24	3422
28.0	1.696213	3198	16	3148
29.0	1.696213	3019	12	3004
30.0	1.696213	2857	15	2816
31.0	1.696213	2654	11	2638
32.0	1.696213	2562	8	2580
33.0	1.696213	2398	7	2331
34.0	1.696213	2246	9	2214
35.0	1.696213	2155	12	2059
36.0	1.696213	1955	6	1955
37.0	1.696213	1941	8	1960
38.0	1.696213	1906	1	1861
39.0	1.696213	1764	5	1718
40.0	1.696213	1614	3	1589
41.0	1.696213	1597	2	1560
42.0	1.696213	1460	5	1500
43.0	1.696213	1448	3	1390
44.0	1.696213	1449	8	1457
45.0	1.696213	1384	2	1394
46.0	1.696213	1301	0	1244
47.0	1.696213	1257	1	1266
48.0	1.696213	1181	3	1138
49.0	1.696213	1076	2	1041
50.0	1.696213	1094	1	1101
51.0	1.696213	1012	0	1059
52.0	1.696213	1049	4	1015
53.0	1.696213	963	4	936
54.0	1.696213	901	1	907
55.0	1.696213	938	3	903
56.0	1.696213	897	2	887
57.0	1.696213	821	2	802
58.0	1.696213	841	3	864
59.0	1.696213	773	0	790
60.0	1.696213	789	0	738
61.0	1.696213	710	1	751
62.0	1.696213	761	1	711
63.0	1.696213	713	0	681
64.0	1.696213	705	1	687
65.0	1.696213	618	2	617
66.0	1.696213	639	1	637
67.0	1.696213	609	0	631
68.0	1.696213	649	3	614
69.0	1.696213	593	0	573
70.0	1.696213	561	0	549
71.0	1.696213	544	0	578
72.0	1.696213	553	0	528
73.0	1.696213	529	1	541
74.0	1.696213	524	1	510
75.0	1.696213	490	0	499
76.0	1.696213	504	2	533
77.0	1.696213	498	0	464
78.0	1.696213	509	1	507
79.0	1.696213	456	1	478
80.0	1.696213	489	1	447
81.0	1.696213	461	0	442
82.0	1.696213	385	1	390
83.0	1.696213	415	0	387
84.0	1.696213	388	2	412
85.0	1.696213	413	0	392
86.0	1.696213	372	0	374
87.0	1.696213	384	0	340
88.0	1.696213	381	0	366
89.0	1.696213	341	1	360
90.0	1.696213	323	1	340
91.0	1.696213	328	1	316
92.0	1.696213	340	1	334
93.0	1.696213	317	0	322
94.0	1.696213	338	0	307
95.0	1.696213	326	1	295
96.0	1.696213	282	2	301
97.0	1.696213	301	1	286
98.0	1.696213	273	0	275
99.0	1.696213	265	0	299
100.0	1.696213	285	2	284
101.0	0	309	0	263
102.0	0	264	2	275
103.0	0	264	1	268
104.0	0	275	0	255
105.0	0	245	1	278
106.0	0	237	0	232
107.0	0	242	1	205
108.0	0	275	1	253
109.0	0	190	0	252
110.0	0	254	0	244
111.0	0	251	0	241
112.0	0	233	0	201
113.0	0	220	0	212
114.0	0	210	1	203
115.0	0	201	0	217
116.0	0	207	0	187
117.0	0	199	0	210
118.0	0	197	1	210
119.0	0	193	0	192
120.0	0	194	0	169
121.0	0	195	0	189
122.0	0	189	0	189
123.0	0	164	0	165
124.0	0	209	0	196
125.0	0	161	1	188
126.0	0	184	0	175
127.0	0	169	0	148
128.0	0	179	0	180
129.0	0	149	0	162
130.0	0	178	0	175
131.0	0	165	1	149
132.0	0	151	0	155
133.0	0	165	0	149
134.0	0	148	0	140
135.0	0	145	0	151
136.0	0	149	0	166
137.0	0	151	0	133
138.0	0	134	0	125
139.0	0	141	0	144
140.0	0	151	0	139
141.0	0	120	0	140
142.0	0	151	0	130
143.0	0	128	0	135
144.0	0	131	1	137
145.0	0	129	0	125
146.0	0	136	0	113
147.0	0	122	0	131
148.0	0	109	0	123
149.0	0	130	0	125
150.0	0	125	1	144
151.0	0	125	0	125
152.0	0	138	0	101
153.0	0	107	0	132
154.0	0	118	1	110
155.0	0	125	0	105
156.0	0	124	0	122
157.0	0	109	0	106
158.0	0	114	0	113
159.0	0	106	0	89
160.0	0	101	0	113
161.0	0	92	0	114
162.0	0	109	0	93
163.0	0	101	0	95
164.0	0	95	0	108
165.0	0	96	0	109
166.0	0	105	0	83
167.0	0	106	0	84
168.0	0	92	0	111
169.0	0	96	0	97
170.0	0	102	1	91
171.0	0	85	0	92
172.0	0	85	0	97
173.0	0	111	0	84
174.0	0	106	0	99
175.0	0	92	0	87
176.0	0	90	0	85
177.0	0	72	0	88
178.0	0	63	0	89
179.0	0	93	0	95
180.0	0	95	0	84
181.0	0	84	0	76
182.0	0	85	2	88
183.0	0	94	0	94
184.0	0	72	0	63
185.0	0	83	0	92
186.0	0	99	0	72
187.0	0	73	0	80
188.0	0	75	0	68
189.0	0	71	0	67
190.0	0	66	0	80
191.0	0	84	0	68
192.0	0	74	0	73
193.0	0	69	0	56
194.0	0	50	0	66
195.0	0	65	0	77
196.0	0	62	0	63
197.0	0	68	0	60
198.0	0	65	0	69
199.0	0	68	0	72
200.0	0	65	0	55
201.0	0	75	0	68
202.0	0	66	0	69
203.0	0	64	0	71
204.0	0	61	0	58
205.0	0	75	0	49
206.0	0	66	0	65
207.0	0	50	0	58
208.0	0	66	0	72
209.0	0	66	0	50
210.0	0	55	0	64
211.0	0	52	0	43
212.0	0	50	0	54
213.0	0	59	0	57
214.0	0	54	0	43
215.0	0	47	0	49
216.0	0	59	0	58
217.0	0	61	0	57
