## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_30.FCHJKY5BBXX_L5_IGGCTAC.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_30.FCHJKY5BBXX_L5_IGGCTAC.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_30.FCHJKY5BBXX_L5_IGGCTAC.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 15:51:35 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	54754266	12737536	0	0	16666148	621751	0.304381	72207176

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00768	31069639	0	31422010
2.0	1.479743	5141832	549694	4911012
3.0	1.700888	1048593	23018	963914
4.0	1.804487	310086	3190	287291
5.0	1.853019	134014	1080	127495
6.0	1.875755	75803	508	73264
7.0	1.886406	49577	310	48414
8.0	1.891395	35724	180	35008
9.0	1.893733	26806	110	26360
10.0	1.894828	21262	90	20878
11.0	1.895341	16985	59	16791
12.0	1.895581	14263	35	14034
13.0	1.895693	11833	37	11619
14.0	1.895746	10136	30	9997
15.0	1.895771	8704	15	8568
16.0	1.895782	7535	13	7526
17.0	1.895788	6782	18	6680
18.0	1.89579	5952	8	5902
19.0	1.895792	5451	7	5359
20.0	1.895792	4923	8	4801
21.0	1.895792	4249	4	4265
22.0	1.895793	4045	4	3917
23.0	1.895793	3641	9	3613
24.0	1.895793	3330	5	3285
25.0	1.895793	3095	3	3082
26.0	1.895793	2814	1	2825
27.0	1.895793	2615	4	2544
28.0	1.895793	2339	1	2346
29.0	1.895793	2224	2	2216
30.0	1.895793	2154	4	2075
31.0	1.895793	1952	1	1932
32.0	1.895793	1802	1	1787
33.0	1.895793	1737	1	1695
34.0	1.895793	1590	0	1607
35.0	1.895793	1571	0	1554
36.0	1.895793	1426	1	1382
37.0	1.895793	1341	3	1295
38.0	1.895793	1206	0	1177
39.0	1.895793	1175	0	1182
40.0	1.895793	1198	0	1202
41.0	1.895793	1114	0	1139
42.0	1.895793	1102	1	1033
43.0	1.895793	1006	1	1010
44.0	1.895793	952	2	987
45.0	1.895793	913	0	849
46.0	1.895793	857	0	805
47.0	1.895793	810	1	838
48.0	1.895793	778	0	819
49.0	1.895793	810	0	772
50.0	1.895793	724	0	702
51.0	1.895793	676	1	666
52.0	1.895793	652	0	657
53.0	1.895793	686	3	663
54.0	1.895793	586	0	575
55.0	1.895793	590	0	616
56.0	1.895793	603	0	575
57.0	1.895793	525	0	503
58.0	1.895793	513	0	535
59.0	1.895793	498	0	478
60.0	1.895793	499	0	470
61.0	1.895793	462	0	439
62.0	1.895793	438	0	454
63.0	1.895793	415	0	439
64.0	1.895793	399	1	395
65.0	1.895793	413	1	402
66.0	1.895793	386	2	397
67.0	1.895793	386	0	355
68.0	1.895793	372	0	354
69.0	1.895793	364	0	395
70.0	1.895793	380	0	348
71.0	1.895793	336	0	325
72.0	1.895793	291	0	290
73.0	1.895793	311	0	307
74.0	1.895793	317	0	298
75.0	1.895793	281	1	304
76.0	1.895793	303	0	291
77.0	1.895793	276	0	278
78.0	1.895793	283	0	261
79.0	1.895793	269	0	268
80.0	1.895793	260	0	254
81.0	1.895793	241	0	261
82.0	1.895793	260	0	251
83.0	1.895793	252	0	218
84.0	1.895793	234	0	229
85.0	1.895793	205	0	188
86.0	1.895793	194	0	209
87.0	1.895793	201	0	209
88.0	1.895793	194	0	193
89.0	1.895793	199	0	189
90.0	1.895793	196	0	201
91.0	1.895793	185	0	198
92.0	1.895793	195	0	184
93.0	1.895793	181	0	184
94.0	1.895793	191	0	188
95.0	1.895793	165	0	141
96.0	1.895793	158	0	170
97.0	1.895793	160	0	167
98.0	1.895793	164	0	163
99.0	1.895793	172	0	164
100.0	1.895793	158	0	149
101.0	0	146	0	162
102.0	0	158	0	146
103.0	0	142	0	138
104.0	0	151	0	163
105.0	0	169	0	145
106.0	0	134	0	122
107.0	0	112	0	113
108.0	0	124	0	130
109.0	0	142	0	139
110.0	0	121	0	125
111.0	0	113	0	116
112.0	0	108	0	111
113.0	0	121	0	106
114.0	0	122	0	113
115.0	0	109	0	111
116.0	0	109	0	112
117.0	0	122	0	129
