## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_34.FCHJKY5BBXX_L6_IGAGTGG.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_34.FCHJKY5BBXX_L6_IGAGTGG.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_34.FCHJKY5BBXX_L6_IGAGTGG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 18:59:24 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	55049936	13634594	0	0	18700566	695474	0.339702	62696568

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007996	30508327	0	30902328
2.0	1.426917	4300097	581195	4011886
3.0	1.601019	790207	26100	713190
4.0	1.673376	236261	5025	219041
5.0	1.703447	109731	2207	105016
6.0	1.715945	66860	1197	65018
7.0	1.721139	45487	698	44459
8.0	1.723297	33807	514	33269
9.0	1.724194	26419	344	25848
10.0	1.724567	21114	251	21036
11.0	1.724722	17683	176	17323
12.0	1.724787	14649	129	14495
13.0	1.724813	12578	109	12454
14.0	1.724824	11071	81	10863
15.0	1.724829	9512	67	9424
16.0	1.724831	8342	59	8210
17.0	1.724832	7586	42	7471
18.0	1.724832	6801	39	6785
19.0	1.724832	6301	38	6188
20.0	1.724832	5654	29	5583
21.0	1.724832	4939	19	4897
22.0	1.724832	4697	14	4690
23.0	1.724832	4339	17	4243
24.0	1.724832	3952	15	3895
25.0	1.724832	3660	16	3617
26.0	1.724832	3465	10	3419
27.0	1.724832	3115	14	3078
28.0	1.724832	2902	15	2905
29.0	1.724832	2786	5	2714
30.0	1.724832	2573	12	2490
31.0	1.724832	2429	7	2410
32.0	1.724832	2328	3	2359
33.0	1.724832	2176	6	2156
34.0	1.724832	2037	3	1986
35.0	1.724832	2006	4	1987
36.0	1.724832	1856	6	1895
37.0	1.724832	1789	2	1714
38.0	1.724832	1614	2	1591
39.0	1.724832	1579	2	1600
40.0	1.724832	1550	2	1528
41.0	1.724832	1440	1	1442
42.0	1.724832	1367	1	1291
43.0	1.724832	1279	2	1260
44.0	1.724832	1215	3	1214
45.0	1.724832	1197	2	1204
46.0	1.724832	1155	3	1131
47.0	1.724832	1159	4	1132
48.0	1.724832	1088	2	1038
49.0	1.724832	972	1	953
50.0	1.724832	938	1	1002
51.0	1.724832	960	2	941
52.0	1.724832	903	1	862
53.0	1.724832	879	2	885
54.0	1.724832	867	1	848
55.0	1.724832	802	3	831
56.0	1.724832	822	1	783
57.0	1.724832	761	2	712
58.0	1.724832	701	2	709
59.0	1.724832	687	2	663
60.0	1.724832	669	0	696
61.0	1.724832	688	0	684
62.0	1.724832	655	3	611
63.0	1.724832	614	0	625
64.0	1.724832	564	0	552
65.0	1.724832	569	1	573
66.0	1.724832	566	1	553
67.0	1.724832	559	0	555
68.0	1.724832	491	0	504
69.0	1.724832	527	2	495
70.0	1.724832	509	0	495
71.0	1.724832	477	1	479
72.0	1.724832	450	0	500
73.0	1.724832	486	0	459
74.0	1.724832	485	0	423
75.0	1.724832	421	1	440
76.0	1.724832	407	1	404
77.0	1.724832	401	2	360
78.0	1.724832	378	0	392
79.0	1.724832	381	1	397
80.0	1.724832	373	1	360
81.0	1.724832	347	0	346
82.0	1.724832	373	0	331
83.0	1.724832	327	1	340
84.0	1.724832	346	0	356
85.0	1.724832	359	0	354
86.0	1.724832	332	0	315
87.0	1.724832	302	0	304
88.0	1.724832	323	2	341
89.0	1.724832	318	1	321
90.0	1.724832	320	0	299
