## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_37.FCHJKY5BBXX_L7_IATCACG.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_37.FCHJKY5BBXX_L7_IATCACG.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_37.FCHJKY5BBXX_L7_IATCACG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 18:33:18 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	52389575	11591924	0	0	14044833	440213	0.268084	80983800

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006028	32649690	0	32928595
2.0	1.532844	4249879	402318	4041800
3.0	1.808716	760566	12219	708418
4.0	1.953179	230367	1680	219149
5.0	2.028828	108519	619	105395
6.0	2.068443	64461	278	63301
7.0	2.089187	43711	189	42967
8.0	2.10005	32052	86	31668
9.0	2.105739	24327	68	24169
10.0	2.108718	19483	35	19224
11.0	2.110277	15785	13	15613
12.0	2.111094	13269	22	13116
13.0	2.111522	10889	15	10745
14.0	2.111746	9278	10	9176
15.0	2.111863	8107	10	8064
16.0	2.111925	7068	10	6990
17.0	2.111957	6407	6	6334
18.0	2.111974	5564	7	5534
19.0	2.111983	5063	6	5069
20.0	2.111987	4588	3	4432
21.0	2.11199	4013	2	4019
22.0	2.111991	3694	3	3638
23.0	2.111992	3312	3	3272
24.0	2.111992	3012	3	2984
25.0	2.111992	2897	1	2964
26.0	2.111992	2716	0	2704
27.0	2.111992	2467	0	2399
28.0	2.111992	2340	1	2334
29.0	2.111992	2120	0	2064
30.0	2.111992	1941	0	1924
31.0	2.111992	1886	0	1858
32.0	2.111992	1682	0	1684
33.0	2.111992	1595	0	1591
34.0	2.111992	1548	0	1501
35.0	2.111992	1370	0	1363
36.0	2.111992	1296	2	1302
37.0	2.111992	1254	1	1213
38.0	2.111992	1188	0	1196
39.0	2.111992	1071	1	1067
40.0	2.111992	1050	0	1036
41.0	2.111992	1060	2	1051
42.0	2.111992	937	1	952
43.0	2.111992	935	0	901
44.0	2.111992	885	0	847
45.0	2.111992	776	0	776
46.0	2.111992	780	0	786
47.0	2.111992	787	0	750
48.0	2.111992	666	0	677
49.0	2.111992	644	0	650
50.0	2.111992	641	0	631
51.0	2.111992	571	1	556
52.0	2.111992	600	0	602
53.0	2.111992	586	0	610
54.0	2.111992	585	0	551
55.0	2.111992	542	0	548
56.0	2.111992	506	0	514
57.0	2.111992	497	0	459
58.0	2.111992	474	0	473
59.0	2.111992	456	0	449
60.0	2.111992	410	0	410
61.0	2.111992	451	0	461
62.0	2.111992	422	0	409
63.0	2.111992	375	0	379
64.0	2.111992	410	0	398
65.0	2.111992	393	0	395
66.0	2.111992	363	0	368
67.0	2.111992	363	0	333
68.0	2.111992	304	0	340
69.0	2.111992	350	0	342
70.0	2.111992	341	0	323
71.0	2.111992	308	0	323
72.0	2.111992	322	0	321
73.0	2.111992	300	0	284
74.0	2.111992	297	0	294
75.0	2.111992	294	0	265
76.0	2.111992	240	0	257
77.0	2.111992	252	0	255
78.0	2.111992	261	0	261
79.0	2.111992	249	0	235
80.0	2.111992	259	0	268
81.0	2.111992	213	0	205
82.0	2.111992	225	0	196
83.0	2.111992	194	0	216
84.0	2.111992	200	0	186
85.0	2.111992	211	0	213
86.0	2.111992	186	0	180
87.0	2.111992	191	0	178
88.0	2.111992	165	0	171
89.0	2.111992	194	0	200
90.0	2.111992	177	0	188
91.0	2.111992	178	0	196
92.0	2.111992	195	0	174
93.0	2.111992	177	0	169
94.0	2.111992	161	0	165
95.0	2.111992	172	0	154
96.0	2.111992	159	0	177
97.0	2.111992	170	0	162
98.0	2.111992	156	0	157
99.0	2.111992	155	0	147
100.0	2.111992	138	0	160
101.0	0	157	0	130
102.0	0	136	0	131
103.0	0	138	0	132
104.0	0	132	0	124
105.0	0	127	0	150
106.0	0	141	0	139
107.0	0	143	0	129
108.0	0	131	0	128
109.0	0	112	0	128
110.0	0	108	0	105
111.0	0	107	0	112
112.0	0	108	0	105
113.0	0	117	0	99
114.0	0	101	0	94
115.0	0	107	0	108
116.0	0	96	0	104
117.0	0	100	0	109
118.0	0	106	0	93
119.0	0	86	0	92
120.0	0	103	0	76
121.0	0	73	0	92
122.0	0	89	0	81
123.0	0	79	0	81
124.0	0	86	0	67
125.0	0	76	0	93
126.0	0	75	0	80
127.0	0	81	0	68
128.0	0	70	0	67
129.0	0	71	0	80
130.0	0	81	0	84
131.0	0	68	0	67
132.0	0	81	0	80
133.0	0	71	0	76
134.0	0	78	0	81
135.0	0	84	0	65
136.0	0	69	0	72
137.0	0	74	0	78
138.0	0	67	0	68
139.0	0	68	0	57
140.0	0	62	0	67
141.0	0	56	0	55
142.0	0	59	0	60
143.0	0	70	0	69
144.0	0	56	0	71
145.0	0	65	0	66
146.0	0	68	0	58
147.0	0	60	0	50
148.0	0	53	0	60
149.0	0	62	0	72
150.0	0	62	0	51
151.0	0	61	0	51
152.0	0	53	0	64
153.0	0	55	0	47
154.0	0	52	0	63
155.0	0	71	0	71
156.0	0	62	0	57
157.0	0	54	0	30
158.0	0	33	0	27
159.0	0	35	0	38
160.0	0	37	0	43
161.0	0	34	0	42
162.0	0	50	0	48
163.0	0	43	0	38
164.0	0	37	0	35
165.0	0	41	0	48
166.0	0	44	0	44
167.0	0	48	0	52
168.0	0	45	0	45
169.0	0	49	0	51
170.0	0	41	0	48
171.0	0	50	0	48
172.0	0	38	0	23
173.0	0	36	0	38
174.0	0	33	0	41
175.0	0	40	0	42
176.0	0	37	0	28
177.0	0	35	0	39
178.0	0	35	0	34
179.0	0	31	0	33
180.0	0	45	0	50
181.0	0	45	0	38
182.0	0	38	0	34
183.0	0	31	0	24
184.0	0	39	0	32
185.0	0	29	0	31
186.0	0	29	0	30
187.0	0	29	0	24
188.0	0	23	0	29
189.0	0	32	0	34
190.0	0	28	0	33
191.0	0	24	0	16
192.0	0	24	0	35
193.0	0	31	0	27
194.0	0	31	0	29
195.0	0	30	0	25
196.0	0	27	0	29
197.0	0	30	0	20
198.0	0	17	0	30
199.0	0	35	0	27
200.0	0	26	0	22
201.0	0	26	0	27
202.0	0	31	0	32
203.0	0	18	0	25
204.0	0	21	0	29
205.0	0	20	0	21
206.0	0	27	0	22
207.0	0	24	0	28
208.0	0	32	0	23
209.0	0	26	0	21
210.0	0	28	0	21
211.0	0	24	0	31
212.0	0	17	0	10
213.0	0	20	0	22
214.0	0	17	0	20
215.0	0	19	0	21
216.0	0	20	0	19
217.0	0	30	0	30
218.0	0	21	0	20
219.0	0	18	0	21
