## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_38.FCHJKY5BBXX_L7_ITTAGGC.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_38.FCHJKY5BBXX_L7_ITTAGGC.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_38.FCHJKY5BBXX_L7_ITTAGGC.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 19:05:26 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	56316900	12304782	0	0	15442591	453515	0.274209	84500051

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005713	35028925	0	35315264
2.0	1.522164	4343381	411120	4127003
3.0	1.78737	780489	12618	729156
4.0	1.923558	241760	1884	230679
5.0	1.993493	114638	713	111468
6.0	2.029406	67723	398	66510
7.0	2.047848	45539	219	44917
8.0	2.057318	32953	145	32529
9.0	2.062181	25477	83	25109
10.0	2.064678	19893	56	19811
11.0	2.065961	16182	33	15974
12.0	2.066619	13395	28	13214
13.0	2.066958	11565	20	11387
14.0	2.067131	9803	19	9734
15.0	2.06722	8294	8	8254
16.0	2.067266	7353	6	7276
17.0	2.06729	6656	10	6610
18.0	2.067302	5833	5	5778
19.0	2.067308	5241	9	5221
20.0	2.067311	4712	9	4682
21.0	2.067313	4310	4	4241
22.0	2.067314	3902	2	3917
23.0	2.067314	3583	5	3543
24.0	2.067314	3279	3	3240
25.0	2.067314	3089	2	3065
26.0	2.067314	2824	3	2790
27.0	2.067314	2645	1	2603
28.0	2.067314	2378	2	2400
29.0	2.067314	2273	1	2229
30.0	2.067314	2103	0	2096
31.0	2.067314	1951	2	1912
32.0	2.067314	1794	0	1793
33.0	2.067314	1809	0	1780
34.0	2.067314	1612	0	1625
35.0	2.067314	1545	0	1518
36.0	2.067314	1457	2	1461
37.0	2.067314	1392	1	1360
38.0	2.067314	1251	1	1260
39.0	2.067314	1264	0	1240
40.0	2.067314	1176	0	1178
41.0	2.067314	1114	0	1086
42.0	2.067314	1095	1	1066
43.0	2.067314	1002	1	1019
44.0	2.067314	971	0	978
45.0	2.067314	961	1	944
46.0	2.067314	872	0	846
47.0	2.067314	851	0	831
48.0	2.067314	742	0	790
49.0	2.067314	768	0	737
50.0	2.067314	749	0	732
51.0	2.067314	731	1	708
52.0	2.067314	700	1	695
53.0	2.067314	651	0	652
54.0	2.067314	643	0	632
55.0	2.067314	580	1	551
56.0	2.067314	557	0	587
57.0	2.067314	571	1	573
58.0	2.067314	565	0	537
59.0	2.067314	523	1	541
60.0	2.067314	531	0	528
61.0	2.067314	509	1	514
62.0	2.067314	491	0	493
63.0	2.067314	467	0	433
64.0	2.067314	395	0	372
65.0	2.067314	386	0	434
66.0	2.067314	423	0	401
67.0	2.067314	379	0	369
68.0	2.067314	367	0	366
69.0	2.067314	321	0	314
70.0	2.067314	330	0	337
71.0	2.067314	339	0	340
72.0	2.067314	346	0	334
73.0	2.067314	305	1	328
74.0	2.067314	348	0	333
75.0	2.067314	305	0	302
76.0	2.067314	331	0	305
77.0	2.067314	279	0	295
78.0	2.067314	286	0	272
79.0	2.067314	300	0	298
80.0	2.067314	258	0	267
81.0	2.067314	281	0	275
82.0	2.067314	254	0	252
83.0	2.067314	233	0	222
84.0	2.067314	253	0	233
85.0	2.067314	215	0	223
86.0	2.067314	236	0	226
87.0	2.067314	227	0	242
88.0	2.067314	235	0	238
89.0	2.067314	240	0	230
90.0	2.067314	227	0	230
91.0	2.067314	214	0	211
92.0	2.067314	191	0	201
93.0	2.067314	201	0	206
94.0	2.067314	198	0	183
95.0	2.067314	213	0	203
96.0	2.067314	189	0	171
97.0	2.067314	164	0	210
98.0	2.067314	206	0	176
99.0	2.067314	190	0	212
100.0	2.067314	165	0	155
101.0	0	177	0	161
102.0	0	159	0	174
103.0	0	152	0	150
104.0	0	170	0	139
105.0	0	136	0	134
106.0	0	139	0	140
107.0	0	152	0	157
108.0	0	118	0	131
109.0	0	134	0	134
110.0	0	145	0	129
111.0	0	137	0	136
112.0	0	128	0	105
113.0	0	96	0	104
114.0	0	113	0	112
115.0	0	109	0	123
116.0	0	124	0	120
117.0	0	118	0	131
118.0	0	127	0	112
119.0	0	112	0	104
120.0	0	109	0	113
121.0	0	109	0	117
122.0	0	101	0	101
123.0	0	104	0	100
124.0	0	123	0	117
125.0	0	101	0	76
126.0	0	88	0	126
127.0	0	105	0	98
128.0	0	99	0	100
129.0	0	108	0	97
130.0	0	87	0	98
131.0	0	97	0	100
132.0	0	91	0	93
133.0	0	93	0	88
134.0	0	88	0	83
135.0	0	96	0	97
136.0	0	88	0	77
137.0	0	75	0	97
138.0	0	99	0	83
139.0	0	83	0	78
140.0	0	82	0	85
141.0	0	85	0	79
