## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_41.FCHJKY5BBXX_L7_ITAGCTT.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_41.FCHJKY5BBXX_L7_ITAGCTT.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_41.FCHJKY5BBXX_L7_ITAGCTT.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 25 05:10:46 GMT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	62285899	16251094	0	0	24185880	709194	0.388304	58564788

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006465	31250580	0	31619222
2.0	1.353929	5029731	571166	4772212
3.0	1.473885	965623	26824	885752
4.0	1.515298	277029	5925	258065
5.0	1.529595	122037	2726	116583
6.0	1.53453	72121	1543	70132
7.0	1.536234	49257	982	48294
8.0	1.536823	36334	665	35740
9.0	1.537026	28447	426	28016
10.0	1.537096	22635	317	22435
11.0	1.53712	19037	276	18902
12.0	1.537128	16307	208	16079
13.0	1.537131	14017	155	13815
14.0	1.537132	12140	93	11916
15.0	1.537133	10636	111	10597
16.0	1.537133	9463	80	9349
17.0	1.537133	8359	51	8215
18.0	1.537133	7504	43	7530
19.0	1.537133	6787	42	6666
20.0	1.537133	6209	46	6191
21.0	1.537133	5618	44	5522
22.0	1.537133	5235	30	5156
23.0	1.537133	4902	32	4883
24.0	1.537133	4451	25	4419
25.0	1.537133	4314	18	4300
26.0	1.537133	3820	26	3795
27.0	1.537133	3670	22	3612
28.0	1.537133	3439	12	3364
29.0	1.537133	3211	16	3193
30.0	1.537133	2926	13	2865
31.0	1.537133	2828	12	2780
32.0	1.537133	2655	7	2664
33.0	1.537133	2529	8	2609
34.0	1.537133	2478	9	2402
35.0	1.537133	2273	12	2260
36.0	1.537133	2197	6	2162
37.0	1.537133	2118	9	2028
38.0	1.537133	1950	5	1994
39.0	1.537133	1868	5	1856
40.0	1.537133	1827	5	1781
41.0	1.537133	1676	4	1613
42.0	1.537133	1657	3	1671
43.0	1.537133	1574	3	1562
44.0	1.537133	1481	6	1493
45.0	1.537133	1431	5	1447
46.0	1.537133	1342	4	1333
47.0	1.537133	1357	4	1273
48.0	1.537133	1198	4	1213
49.0	1.537133	1200	2	1202
50.0	1.537133	1218	1	1153
51.0	1.537133	1128	0	1140
52.0	1.537133	1058	3	1074
53.0	1.537133	1055	2	1026
54.0	1.537133	1020	3	1008
55.0	1.537133	951	1	932
56.0	1.537133	966	0	962
57.0	1.537133	939	2	929
58.0	1.537133	837	2	820
59.0	1.537133	871	4	873
60.0	1.537133	839	2	830
61.0	1.537133	787	1	831
62.0	1.537133	792	1	743
63.0	1.537133	764	0	752
64.0	1.537133	745	2	723
