## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_44.FCHJKY5BBXX_L8_IGTTTCG.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_44.FCHJKY5BBXX_L8_IGTTTCG.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_44.FCHJKY5BBXX_L8_IGTTTCG.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 19:04:27 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	47930761	10456142	0	0	12855457	430989	0.268209	74157113

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006457	29672978	0	29944359
2.0	1.5338	4061204	393867	3861363
3.0	1.810106	729492	11653	676857
4.0	1.954879	212894	1620	201485
5.0	2.030735	97042	629	93761
6.0	2.07048	57040	279	55769
7.0	2.091305	38070	143	37460
8.0	2.102216	27746	105	27405
9.0	2.107933	21342	49	21091
10.0	2.110929	16866	51	16582
11.0	2.112498	13569	30	13413
12.0	2.113321	11273	26	11204
13.0	2.113752	9616	16	9482
14.0	2.113977	8079	20	8008
15.0	2.114096	7130	11	6979
16.0	2.114158	6134	5	6144
17.0	2.11419	5443	10	5379
18.0	2.114207	4911	7	4926
19.0	2.114216	4466	2	4357
20.0	2.114221	3903	4	3868
21.0	2.114223	3550	4	3541
22.0	2.114224	3193	3	3197
23.0	2.114225	3002	0	2927
24.0	2.114225	2741	1	2691
25.0	2.114226	2429	0	2447
26.0	2.114226	2384	1	2366
27.0	2.114226	2170	3	2084
28.0	2.114226	1938	2	1912
29.0	2.114226	1790	0	1795
30.0	2.114226	1732	2	1726
31.0	2.114226	1642	1	1617
32.0	2.114226	1450	2	1430
33.0	2.114226	1384	3	1386
34.0	2.114226	1324	1	1315
35.0	2.114226	1255	0	1220
36.0	2.114226	1119	0	1129
37.0	2.114226	1075	0	1013
38.0	2.114226	968	1	984
39.0	2.114226	940	0	933
40.0	2.114226	930	1	949
41.0	2.114226	875	0	861
42.0	2.114226	817	0	771
43.0	2.114226	777	0	804
44.0	2.114226	765	0	759
45.0	2.114226	734	0	727
46.0	2.114226	710	0	723
47.0	2.114226	689	1	656
48.0	2.114226	654	0	645
49.0	2.114226	614	1	587
50.0	2.114226	562	0	587
51.0	2.114226	559	1	538
52.0	2.114226	535	0	537
53.0	2.114226	522	0	531
54.0	2.114226	513	0	509
55.0	2.114226	490	1	455
56.0	2.114226	413	0	423
57.0	2.114226	409	0	380
58.0	2.114226	392	0	390
59.0	2.114226	374	0	396
60.0	2.114226	380	0	356
61.0	2.114226	362	0	376
62.0	2.114226	363	0	358
63.0	2.114226	355	0	345
64.0	2.114226	348	0	341
65.0	2.114226	339	0	346
66.0	2.114226	320	0	353
67.0	2.114226	351	0	312
68.0	2.114226	287	1	282
69.0	2.114226	284	0	295
70.0	2.114226	278	0	260
71.0	2.114226	280	0	273
72.0	2.114226	253	0	239
73.0	2.114226	236	0	239
74.0	2.114226	265	0	264
75.0	2.114226	218	0	235
76.0	2.114226	223	0	211
77.0	2.114226	247	0	244
78.0	2.114226	209	0	198
79.0	2.114226	199	0	199
80.0	2.114226	218	0	226
81.0	2.114226	212	0	223
82.0	2.114226	215	0	186
83.0	2.114226	192	0	198
84.0	2.114226	178	0	157
85.0	2.114226	155	0	183
86.0	2.114226	184	0	174
87.0	2.114226	162	0	165
88.0	2.114226	184	0	176
89.0	2.114226	162	0	149
90.0	2.114226	150	0	145
91.0	2.114226	152	0	151
92.0	2.114226	154	0	166
93.0	2.114226	143	0	158
94.0	2.114226	166	0	146
95.0	2.114226	139	0	143
96.0	2.114226	151	0	153
97.0	2.114226	139	0	127
98.0	2.114226	127	0	128
99.0	2.114226	132	0	121
100.0	2.114226	139	0	141
101.0	0	119	0	117
102.0	0	104	0	112
103.0	0	118	0	121
104.0	0	131	0	124
105.0	0	116	0	114
106.0	0	112	0	106
107.0	0	99	0	106
108.0	0	104	0	100
109.0	0	99	0	81
110.0	0	100	0	114
111.0	0	110	0	90
112.0	0	89	0	92
113.0	0	81	0	77
114.0	0	76	0	94
115.0	0	100	0	105
116.0	0	87	0	78
117.0	0	91	0	70
118.0	0	73	0	94
119.0	0	76	0	75
120.0	0	83	0	87
121.0	0	75	0	77
122.0	0	76	0	65
123.0	0	85	0	83
124.0	0	79	0	83
125.0	0	78	0	83
126.0	0	86	0	77
127.0	0	73	0	76
128.0	0	69	0	61
129.0	0	67	0	56
130.0	0	54	0	53
131.0	0	61	0	62
132.0	0	54	0	62
133.0	0	51	0	58
134.0	0	69	0	53
135.0	0	59	0	62
136.0	0	63	0	65
137.0	0	58	0	59
138.0	0	73	0	68
139.0	0	67	0	59
140.0	0	56	0	60
141.0	0	47	0	36
142.0	0	49	0	46
143.0	0	39	0	59
144.0	0	52	0	50
145.0	0	50	0	47
146.0	0	43	0	53
147.0	0	51	0	45
148.0	0	61	0	50
149.0	0	50	0	45
150.0	0	53	0	58
151.0	0	42	0	50
152.0	0	50	0	43
153.0	0	42	0	43
154.0	0	47	0	51
155.0	0	49	0	37
156.0	0	43	0	43
157.0	0	39	0	36
158.0	0	48	0	64
159.0	0	50	0	48
160.0	0	46	0	50
161.0	0	31	0	30
162.0	0	50	0	40
163.0	0	49	0	39
164.0	0	30	0	43
165.0	0	33	0	38
166.0	0	39	0	25
167.0	0	32	0	34
168.0	0	31	0	28
169.0	0	29	0	44
170.0	0	38	0	40
171.0	0	48	0	35
172.0	0	33	0	34
173.0	0	45	0	34
174.0	0	26	0	27
175.0	0	30	0	35
176.0	0	28	0	30
177.0	0	29	0	31
178.0	0	33	0	25
179.0	0	37	0	36
180.0	0	21	0	32
181.0	0	40	0	27
182.0	0	27	0	35
183.0	0	34	0	33
184.0	0	29	0	26
185.0	0	35	0	28
186.0	0	27	0	37
187.0	0	35	0	28
188.0	0	19	0	28
189.0	0	30	0	30
190.0	0	36	0	22
191.0	0	27	0	30
192.0	0	26	0	34
193.0	0	30	0	21
194.0	0	28	0	22
195.0	0	17	0	32
196.0	0	23	0	29
197.0	0	35	0	25
198.0	0	22	0	23
199.0	0	27	0	28
200.0	0	25	0	24
201.0	0	23	0	22
202.0	0	28	0	20
203.0	0	25	0	20
204.0	0	23	0	16
205.0	0	15	0	32
206.0	0	21	0	18
207.0	0	19	0	23
208.0	0	21	0	21
209.0	0	24	0	26
210.0	0	27	0	17
211.0	0	16	0	16
212.0	0	22	0	14
213.0	0	11	0	10
214.0	0	13	0	15
215.0	0	21	0	16
216.0	0	15	0	19
217.0	0	16	0	24
218.0	0	19	0	20
219.0	0	14	0	15
220.0	0	24	0	17
221.0	0	12	0	14
222.0	0	17	0	18
223.0	0	20	0	24
224.0	0	23	0	20
225.0	0	13	0	10
226.0	0	10	0	23
227.0	0	19	0	23
228.0	0	23	0	17
229.0	0	19	0	22
230.0	0	27	0	17
231.0	0	13	0	14
232.0	0	18	0	21
233.0	0	19	0	12
234.0	0	19	0	11
235.0	0	12	0	17
236.0	0	7	0	8
237.0	0	18	0	13
238.0	0	6	0	16
239.0	0	15	0	10
240.0	0	11	0	20
241.0	0	17	0	19
242.0	0	25	0	12
243.0	0	14	0	7
244.0	0	11	0	14
245.0	0	10	0	10
246.0	0	12	0	11
247.0	0	12	0	13
248.0	0	6	0	22
249.0	0	13	0	15
250.0	0	21	0	9
251.0	0	11	0	12
252.0	0	14	0	9
253.0	0	13	0	16
254.0	0	13	0	13
255.0	0	16	0	15
256.0	0	10	0	13
257.0	0	12	0	9
258.0	0	7	0	11
259.0	0	11	0	16
260.0	0	16	0	12
261.0	0	13	0	13
262.0	0	15	0	7
263.0	0	14	0	7
264.0	0	10	0	13
265.0	0	11	0	11
266.0	0	7	0	7
267.0	0	9	0	13
268.0	0	10	0	12
269.0	0	13	0	13
270.0	0	16	0	13
271.0	0	10	0	8
272.0	0	11	0	14
273.0	0	6	0	6
274.0	0	8	0	11
275.0	0	9	0	8
276.0	0	12	0	13
277.0	0	10	0	8
278.0	0	12	0	13
279.0	0	10	0	10
280.0	0	11	0	8
281.0	0	9	0	9
282.0	0	9	0	9
283.0	0	9	0	14
284.0	0	11	0	8
285.0	0	7	0	11
286.0	0	10	0	6
287.0	0	15	0	9
288.0	0	7	0	7
289.0	0	8	0	11
290.0	0	7	0	15
291.0	0	12	0	6
292.0	0	8	0	9
293.0	0	10	0	6
294.0	0	11	0	8
295.0	0	7	0	8
296.0	0	9	0	13
297.0	0	11	0	10
298.0	0	9	0	8
299.0	0	7	0	9
300.0	0	9	0	11
301.0	0	12	0	8
302.0	0	10	0	5
303.0	0	9	0	6
304.0	0	5	0	3
305.0	0	6	0	6
306.0	0	3	0	8
307.0	0	6	0	8
308.0	0	8	0	7
309.0	0	4	0	7
310.0	0	9	0	8
311.0	0	5	0	13
312.0	0	12	0	8
313.0	0	10	0	11
314.0	0	11	0	11
315.0	0	5	0	2
316.0	0	11	0	1
317.0	0	4	0	8
318.0	0	4	0	4
319.0	0	7	0	4
320.0	0	5	0	11
321.0	0	5	0	8
322.0	0	6	0	7
323.0	0	7	0	10
324.0	0	9	0	9
325.0	0	10	0	15
326.0	0	11	0	7
327.0	0	10	0	12
328.0	0	11	0	8
329.0	0	10	0	10
330.0	0	6	0	9
331.0	0	13	0	7
332.0	0	10	0	10
333.0	0	6	0	6
334.0	0	10	0	2
335.0	0	7	0	6
336.0	0	3	0	6
337.0	0	6	0	8
338.0	0	7	0	7
339.0	0	5	0	4
340.0	0	9	0	10
341.0	0	6	0	8
342.0	0	4	0	4
343.0	0	11	0	9
344.0	0	2	0	3
345.0	0	4	0	8
346.0	0	8	0	3
347.0	0	6	0	6
348.0	0	5	0	7
349.0	0	4	0	2
350.0	0	14	0	8
351.0	0	5	0	6
352.0	0	4	0	3
353.0	0	2	0	3
354.0	0	4	0	6
355.0	0	8	0	5
356.0	0	4	0	6
357.0	0	4	0	4
358.0	0	3	0	2
359.0	0	3	0	10
360.0	0	7	0	4
361.0	0	7	0	4
362.0	0	8	0	10
363.0	0	8	0	4
364.0	0	6	0	6
365.0	0	6	0	5
366.0	0	9	0	7
367.0	0	0	0	5
368.0	0	5	0	4
369.0	0	2	0	3
370.0	0	5	0	1
371.0	0	5	0	5
372.0	0	4	0	3
373.0	0	3	0	5
374.0	0	6	0	4
375.0	0	4	0	3
376.0	0	3	0	4
377.0	0	5	0	9
378.0	0	2	0	5
379.0	0	6	0	7
380.0	0	7	0	6
381.0	0	2	0	4
382.0	0	5	0	4
383.0	0	8	0	5
384.0	0	5	0	4
385.0	0	2	0	3
386.0	0	8	0	7
387.0	0	3	0	6
388.0	0	4	0	4
389.0	0	3	0	5
390.0	0	5	0	3
391.0	0	2	0	5
392.0	0	6	0	2
393.0	0	5	0	4
394.0	0	4	0	4
395.0	0	5	0	2
396.0	0	2	0	3
397.0	0	6	0	7
398.0	0	1	0	6
399.0	0	4	0	4
400.0	0	2	0	5
401.0	0	7	0	3
402.0	0	7	0	0
403.0	0	3	0	5
404.0	0	5	0	3
405.0	0	4	0	2
406.0	0	4	0	6
407.0	0	3	0	4
408.0	0	3	0	6
409.0	0	3	0	2
410.0	0	3	0	4
411.0	0	5	0	6
412.0	0	5	0	4
413.0	0	4	0	6
414.0	0	2	0	2
415.0	0	8	0	4
416.0	0	2	0	3
417.0	0	4	0	3
418.0	0	7	0	2
419.0	0	2	0	4
420.0	0	0	0	4
421.0	0	1	0	3
422.0	0	9	0	3
423.0	0	1	0	1
424.0	0	4	0	4
425.0	0	2	0	3
426.0	0	4	0	3
427.0	0	3	0	2
428.0	0	1	0	2
429.0	0	4	0	1
430.0	0	1	0	0
431.0	0	3	0	2
432.0	0	0	0	6
433.0	0	0	0	5
434.0	0	6	0	2
435.0	0	3	0	3
436.0	0	1	0	3
437.0	0	4	0	5
438.0	0	4	0	6
439.0	0	4	0	1
440.0	0	5	0	3
441.0	0	3	0	4
442.0	0	1	0	2
443.0	0	5	0	0
444.0	0	2	0	2
445.0	0	2	0	1
446.0	0	4	0	5
447.0	0	0	0	2
448.0	0	2	0	0
