## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_6.FCHJKY5BBXX_L1_IGGCTAC.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_6.FCHJKY5BBXX_L1_IGGCTAC.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_6.FCHJKY5BBXX_L1_IGGCTAC.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 19:05:27 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	56046006	12097616	0	0	16515754	808842	0.294682	77678238

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.009996	33018781	0	33485633
2.0	1.50087	4797983	688005	4477170
3.0	1.739443	935507	35035	834429
4.0	1.855392	281280	5337	254387
5.0	1.911746	125892	1781	117354
6.0	1.939134	72144	931	68895
7.0	1.952446	46725	524	45287
8.0	1.958915	34047	353	33137
9.0	1.96206	25715	263	25041
10.0	1.963588	20232	177	19884
11.0	1.96433	16452	124	16150
12.0	1.964691	13667	99	13456
13.0	1.964867	11454	70	11227
14.0	1.964952	9852	55	9594
15.0	1.964994	8402	40	8260
16.0	1.965014	7252	45	7210
17.0	1.965023	6485	46	6366
18.0	1.965028	5957	26	5832
19.0	1.965031	5207	28	5152
20.0	1.965032	4639	23	4564
21.0	1.965032	4214	18	4099
22.0	1.965032	3788	9	3720
23.0	1.965033	3450	9	3436
24.0	1.965033	3300	10	3267
25.0	1.965033	3080	13	2985
26.0	1.965033	2699	15	2663
27.0	1.965033	2543	6	2512
28.0	1.965033	2329	6	2259
29.0	1.965033	2155	7	2092
30.0	1.965033	1999	4	2048
31.0	1.965033	1950	5	1893
32.0	1.965033	1760	4	1712
33.0	1.965033	1685	3	1652
34.0	1.965033	1524	2	1539
35.0	1.965033	1486	3	1505
36.0	1.965033	1430	6	1383
37.0	1.965033	1391	2	1335
38.0	1.965033	1312	2	1320
39.0	1.965033	1239	3	1222
40.0	1.965033	1160	3	1125
41.0	1.965033	1088	2	1058
42.0	1.965033	1038	0	1009
43.0	1.965033	909	2	925
44.0	1.965033	959	1	959
45.0	1.965033	916	3	904
46.0	1.965033	864	1	832
47.0	1.965033	788	2	768
48.0	1.965033	734	2	708
49.0	1.965033	756	5	768
50.0	1.965033	701	0	690
51.0	1.965033	727	0	726
52.0	1.965033	635	0	624
53.0	1.965033	634	0	631
54.0	1.965033	566	0	560
55.0	1.965033	591	2	574
56.0	1.965033	533	0	532
57.0	1.965033	565	0	534
58.0	1.965033	525	1	487
59.0	1.965033	477	0	503
60.0	1.965033	515	0	491
61.0	1.965033	473	1	503
62.0	1.965033	459	0	454
63.0	1.965033	470	0	447
64.0	1.965033	436	2	417
65.0	1.965033	415	1	451
66.0	1.965033	421	2	380
67.0	1.965033	386	0	366
68.0	1.965033	368	0	386
69.0	1.965033	378	1	331
70.0	1.965033	332	1	328
71.0	1.965033	340	0	329
72.0	1.965033	300	0	322
73.0	1.965033	318	0	305
74.0	1.965033	300	2	317
75.0	1.965033	315	0	309
76.0	1.965033	286	0	289
77.0	1.965033	278	0	254
78.0	1.965033	266	0	275
79.0	1.965033	285	1	289
80.0	1.965033	258	0	245
81.0	1.965033	292	0	282
82.0	1.965033	266	2	251
83.0	1.965033	255	1	246
84.0	1.965033	238	0	229
85.0	1.965033	223	0	235
86.0	1.965033	228	0	236
87.0	1.965033	235	1	212
88.0	1.965033	229	0	204
89.0	1.965033	188	1	208
90.0	1.965033	210	0	204
91.0	1.965033	188	0	192
92.0	1.965033	212	0	196
93.0	1.965033	190	0	179
94.0	1.965033	185	2	201
95.0	1.965033	182	0	192
96.0	1.965033	177	0	167
97.0	1.965033	182	0	176
98.0	1.965033	167	0	165
99.0	1.965033	176	0	180
100.0	1.965033	169	1	164
101.0	0	167	0	135
102.0	0	132	0	148
103.0	0	149	0	154
104.0	0	148	0	166
105.0	0	154	0	153
106.0	0	158	0	133
107.0	0	133	0	144
108.0	0	150	0	124
109.0	0	145	0	137
110.0	0	114	0	117
111.0	0	133	0	137
112.0	0	119	0	142
113.0	0	131	1	133
114.0	0	124	0	127
115.0	0	130	1	122
116.0	0	125	0	107
117.0	0	108	0	102
118.0	0	117	0	108
119.0	0	102	0	111
120.0	0	127	1	112
121.0	0	121	1	110
122.0	0	99	0	117
123.0	0	109	0	105
124.0	0	112	0	100
125.0	0	85	1	103
126.0	0	105	0	81
127.0	0	90	0	92
128.0	0	90	0	95
129.0	0	108	0	80
130.0	0	81	0	102
131.0	0	78	0	100
132.0	0	115	0	102
133.0	0	83	0	82
134.0	0	102	0	93
135.0	0	82	0	79
136.0	0	79	0	84
137.0	0	88	0	77
138.0	0	70	0	63
139.0	0	70	0	71
140.0	0	77	0	63
141.0	0	74	0	62
142.0	0	66	0	81
143.0	0	62	0	61
144.0	0	64	0	78
145.0	0	70	0	67
146.0	0	69	0	71
147.0	0	70	0	81
148.0	0	66	0	73
149.0	0	80	0	80
150.0	0	83	0	73
151.0	0	70	0	70
152.0	0	75	0	59
153.0	0	64	0	67
154.0	0	63	0	56
155.0	0	61	0	56
156.0	0	55	0	66
157.0	0	61	0	50
158.0	0	65	0	51
159.0	0	51	0	65
160.0	0	46	0	64
161.0	0	75	0	59
162.0	0	66	0	62
163.0	0	60	0	53
164.0	0	46	0	38
165.0	0	50	0	38
166.0	0	49	0	43
167.0	0	44	0	43
168.0	0	52	0	50
169.0	0	42	0	62
170.0	0	55	0	49
171.0	0	44	0	45
172.0	0	43	0	61
173.0	0	49	0	43
174.0	0	47	0	51
175.0	0	59	0	35
176.0	0	40	0	52
177.0	0	43	0	48
178.0	0	48	0	45
179.0	0	44	0	45
180.0	0	44	0	43
181.0	0	42	0	56
182.0	0	41	0	49
183.0	0	43	0	54
184.0	0	59	0	40
185.0	0	54	0	34
186.0	0	44	0	41
187.0	0	38	0	43
188.0	0	33	0	38
189.0	0	35	0	32
190.0	0	39	0	33
191.0	0	31	0	42
192.0	0	47	0	31
193.0	0	41	0	46
194.0	0	37	0	36
195.0	0	39	0	37
196.0	0	36	0	36
197.0	0	36	0	30
198.0	0	35	0	29
199.0	0	30	0	31
200.0	0	27	0	43
201.0	0	43	0	35
202.0	0	28	0	27
203.0	0	32	0	39
204.0	0	35	0	38
205.0	0	33	0	38
206.0	0	35	0	28
207.0	0	42	0	35
208.0	0	40	0	22
209.0	0	40	0	38
210.0	0	16	0	27
211.0	0	31	0	38
212.0	0	31	0	37
213.0	0	27	0	22
214.0	0	31	0	35
215.0	0	40	0	31
216.0	0	23	0	21
217.0	0	28	0	28
218.0	0	30	0	24
219.0	0	36	0	34
220.0	0	29	0	21
221.0	0	18	0	21
222.0	0	24	0	27
223.0	0	26	0	23
224.0	0	27	0	28
225.0	0	27	0	24
226.0	0	26	0	22
227.0	0	23	0	28
228.0	0	24	0	27
229.0	0	26	0	28
230.0	0	29	0	21
231.0	0	24	0	29
232.0	0	18	0	25
233.0	0	29	0	24
234.0	0	25	0	33
235.0	0	29	0	22
236.0	0	18	0	25
237.0	0	30	0	23
238.0	0	29	0	26
239.0	0	26	0	21
240.0	0	15	0	23
241.0	0	29	0	19
242.0	0	26	0	21
243.0	0	22	0	19
244.0	0	16	0	15
245.0	0	29	0	21
246.0	0	13	0	24
247.0	0	24	0	21
248.0	0	26	0	17
249.0	0	16	0	16
250.0	0	13	0	28
251.0	0	16	0	15
252.0	0	13	0	16
253.0	0	24	0	18
254.0	0	25	0	20
255.0	0	11	0	17
256.0	0	25	0	16
257.0	0	14	0	14
258.0	0	21	0	15
259.0	0	14	0	16
260.0	0	12	0	16
261.0	0	17	0	29
262.0	0	18	0	18
263.0	0	17	0	23
264.0	0	16	0	15
265.0	0	19	0	16
266.0	0	25	0	13
267.0	0	17	0	22
268.0	0	20	0	20
269.0	0	17	0	12
270.0	0	16	0	23
271.0	0	13	0	14
272.0	0	18	0	15
273.0	0	22	0	14
274.0	0	17	0	15
275.0	0	20	0	20
276.0	0	12	0	21
277.0	0	17	0	8
278.0	0	15	0	17
279.0	0	14	0	22
280.0	0	15	0	21
281.0	0	15	0	18
282.0	0	16	0	12
283.0	0	17	0	12
284.0	0	21	0	14
285.0	0	15	0	11
286.0	0	16	0	21
287.0	0	12	0	13
288.0	0	20	0	11
289.0	0	12	0	11
290.0	0	10	0	13
291.0	0	11	0	19
292.0	0	10	0	12
293.0	0	16	0	10
294.0	0	20	0	14
295.0	0	14	0	11
296.0	0	13	0	16
297.0	0	11	0	15
298.0	0	8	0	18
299.0	0	10	0	17
300.0	0	20	0	11
301.0	0	14	0	10
