## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/03_addRG/bam/APOE_3M_7.FCHJKY5BBXX_L2_IGTGGCC.bam --OUTPUT results/04_markDuplicates/bam/APOE_3M_7.FCHJKY5BBXX_L2_IGTGGCC.bam --METRICS_FILE results/04_markDuplicates/metrics/APOE_3M_7.FCHJKY5BBXX_L2_IGTGGCC.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 30 19:06:28 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	50643681	12709296	0	0	17567746	520778	0.346889	55808962

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006384	27537985	0	27835348
2.0	1.412513	4077873	446194	3855613
3.0	1.576408	755252	15909	700739
4.0	1.642548	224841	3583	212757
5.0	1.669239	103884	1512	100575
6.0	1.68001	62528	888	61152
7.0	1.684357	42610	517	41870
8.0	1.686111	31274	329	30844
9.0	1.686819	24450	235	24041
10.0	1.687105	19838	164	19566
11.0	1.68722	16281	139	16210
12.0	1.687267	13671	75	13475
13.0	1.687285	11609	69	11532
14.0	1.687293	10264	53	10122
15.0	1.687296	8747	34	8666
16.0	1.687297	7828	39	7697
17.0	1.687298	7003	38	6933
18.0	1.687298	6137	25	6103
19.0	1.687298	5649	20	5615
20.0	1.687298	5214	26	5162
21.0	1.687298	4572	9	4539
22.0	1.687298	4401	19	4386
23.0	1.687298	4037	11	3969
24.0	1.687298	3677	11	3635
25.0	1.687298	3439	8	3417
26.0	1.687298	3123	8	3091
27.0	1.687298	2909	11	2861
28.0	1.687298	2639	9	2579
29.0	1.687298	2472	6	2433
30.0	1.687298	2326	4	2365
31.0	1.687298	2352	2	2297
32.0	1.687298	2090	5	2138
33.0	1.687298	2043	1	1997
34.0	1.687298	1878	0	1812
35.0	1.687298	1758	0	1770
36.0	1.687298	1679	4	1680
37.0	1.687298	1609	4	1589
38.0	1.687298	1592	3	1567
39.0	1.687298	1430	3	1392
40.0	1.687298	1378	2	1395
41.0	1.687298	1400	2	1360
42.0	1.687298	1232	4	1241
43.0	1.687298	1234	3	1200
44.0	1.687298	1174	1	1162
45.0	1.687298	1195	1	1158
46.0	1.687298	996	1	1034
47.0	1.687298	1019	0	988
48.0	1.687298	988	1	1018
49.0	1.687298	976	0	989
50.0	1.687298	937	0	877
51.0	1.687298	874	1	869
52.0	1.687298	867	1	835
53.0	1.687298	804	0	807
54.0	1.687298	799	0	782
55.0	1.687298	736	1	731
56.0	1.687298	718	0	720
57.0	1.687298	705	3	699
58.0	1.687298	659	0	648
59.0	1.687298	629	1	679
60.0	1.687298	646	0	635
61.0	1.687298	644	0	581
62.0	1.687298	573	2	577
63.0	1.687298	579	0	544
64.0	1.687298	528	2	552
65.0	1.687298	553	0	517
66.0	1.687298	506	0	522
67.0	1.687298	495	1	516
68.0	1.687298	500	1	469
69.0	1.687298	459	1	475
70.0	1.687298	504	1	485
71.0	1.687298	457	0	446
72.0	1.687298	417	1	398
73.0	1.687298	411	0	449
74.0	1.687298	435	0	401
75.0	1.687298	398	1	396
76.0	1.687298	394	0	387
77.0	1.687298	381	0	366
78.0	1.687298	367	1	378
79.0	1.687298	352	1	351
80.0	1.687298	386	1	355
81.0	1.687298	336	0	341
82.0	1.687298	313	1	331
83.0	1.687298	337	0	362
84.0	1.687298	358	0	332
85.0	1.687298	332	0	314
86.0	1.687298	295	0	294
87.0	1.687298	301	0	279
88.0	1.687298	291	0	282
89.0	1.687298	278	0	285
90.0	1.687298	258	0	279
91.0	1.687298	251	0	243
92.0	1.687298	275	0	246
93.0	1.687298	268	0	288
94.0	1.687298	257	1	247
95.0	1.687298	251	0	253
96.0	1.687298	212	0	230
97.0	1.687298	248	0	231
98.0	1.687298	228	1	230
99.0	1.687298	227	0	231
100.0	1.687298	238	0	224
101.0	0	212	0	222
102.0	0	221	0	211
103.0	0	214	0	216
104.0	0	199	0	203
105.0	0	211	0	198
106.0	0	214	0	190
107.0	0	171	0	158
108.0	0	174	0	209
109.0	0	196	1	199
110.0	0	203	0	194
111.0	0	187	0	159
112.0	0	173	0	169
113.0	0	165	0	179
114.0	0	168	1	172
115.0	0	174	0	182
116.0	0	183	0	181
117.0	0	154	1	137
118.0	0	159	0	143
119.0	0	160	0	148
120.0	0	131	1	135
121.0	0	123	0	143
122.0	0	164	0	155
123.0	0	145	0	154
124.0	0	136	0	150
125.0	0	154	0	170
126.0	0	155	0	137
127.0	0	162	0	140
128.0	0	123	0	118
129.0	0	138	0	144
130.0	0	122	0	132
131.0	0	138	0	134
132.0	0	141	0	131
133.0	0	131	0	123
134.0	0	124	0	129
135.0	0	123	0	123
136.0	0	106	0	118
137.0	0	134	1	102
138.0	0	105	1	115
139.0	0	109	0	126
140.0	0	132	0	125
141.0	0	107	0	126
142.0	0	125	0	109
143.0	0	116	0	108
144.0	0	99	0	107
145.0	0	112	0	97
146.0	0	100	0	102
147.0	0	99	0	106
148.0	0	97	0	96
149.0	0	109	1	96
150.0	0	105	0	99
151.0	0	101	0	84
152.0	0	90	0	93
153.0	0	89	0	85
154.0	0	76	0	85
155.0	0	93	0	91
156.0	0	97	0	90
157.0	0	80	0	101
158.0	0	99	0	89
159.0	0	100	0	94
160.0	0	82	0	76
161.0	0	74	0	76
162.0	0	82	0	80
163.0	0	76	0	78
164.0	0	83	0	80
165.0	0	72	0	73
166.0	0	82	0	75
167.0	0	65	0	78
168.0	0	83	0	83
169.0	0	88	0	81
170.0	0	79	0	73
171.0	0	83	0	76
172.0	0	61	0	68
173.0	0	80	0	77
174.0	0	58	0	70
175.0	0	77	0	73
176.0	0	68	0	65
177.0	0	73	0	73
178.0	0	70	0	59
179.0	0	56	0	68
180.0	0	63	0	65
181.0	0	70	0	73
182.0	0	65	0	59
183.0	0	61	0	44
184.0	0	49	0	67
185.0	0	66	0	55
186.0	0	71	0	72
187.0	0	61	0	61
188.0	0	50	0	62
189.0	0	71	0	48
190.0	0	59	0	47
191.0	0	37	0	60
192.0	0	54	0	53
193.0	0	64	0	45
194.0	0	42	0	50
195.0	0	42	0	55
196.0	0	51	0	35
197.0	0	54	0	55
198.0	0	51	0	51
199.0	0	49	0	52
200.0	0	61	0	60
201.0	0	37	0	41
202.0	0	54	0	56
203.0	0	51	0	59
204.0	0	53	0	41
205.0	0	47	0	47
206.0	0	44	0	41
207.0	0	46	0	47
208.0	0	62	0	51
209.0	0	39	0	41
210.0	0	48	0	39
211.0	0	34	0	37
212.0	0	43	0	45
213.0	0	40	0	44
214.0	0	39	0	57
215.0	0	46	0	48
216.0	0	41	0	39
217.0	0	43	0	41
218.0	0	51	0	37
219.0	0	39	0	47
220.0	0	44	0	46
221.0	0	40	0	28
222.0	0	38	0	59
223.0	0	50	0	49
224.0	0	53	0	49
225.0	0	39	0	40
226.0	0	46	0	48
227.0	0	48	0	35
228.0	0	45	0	34
229.0	0	36	0	40
230.0	0	37	0	40
231.0	0	37	0	35
232.0	0	40	0	38
233.0	0	36	0	28
234.0	0	38	0	32
235.0	0	37	0	40
236.0	0	35	0	50
237.0	0	32	0	27
238.0	0	42	0	40
239.0	0	36	0	39
240.0	0	45	0	44
241.0	0	37	0	29
242.0	0	27	0	28
243.0	0	40	0	41
244.0	0	33	0	30
245.0	0	40	0	37
246.0	0	29	0	36
247.0	0	29	0	32
248.0	0	31	0	25
249.0	0	33	0	22
250.0	0	30	0	25
251.0	0	27	0	32
252.0	0	36	0	28
253.0	0	24	0	26
254.0	0	27	0	23
255.0	0	22	0	25
256.0	0	18	0	28
257.0	0	27	0	38
258.0	0	32	0	31
259.0	0	28	0	28
260.0	0	32	0	31
261.0	0	39	0	41
262.0	0	28	0	22
263.0	0	26	0	43
264.0	0	40	0	24
265.0	0	35	0	30
266.0	0	26	0	18
267.0	0	26	0	13
268.0	0	19	0	20
269.0	0	18	0	26
270.0	0	25	0	31
271.0	0	24	0	21
272.0	0	23	0	19
273.0	0	23	0	22
274.0	0	20	0	27
275.0	0	19	0	30
276.0	0	23	0	20
277.0	0	32	0	29
278.0	0	26	0	25
279.0	0	32	0	21
280.0	0	20	0	18
281.0	0	21	0	25
282.0	0	23	0	16
283.0	0	14	0	25
284.0	0	30	0	23
285.0	0	20	0	24
286.0	0	28	0	19
287.0	0	21	0	22
288.0	0	16	0	27
289.0	0	22	0	17
290.0	0	25	0	24
291.0	0	22	0	27
292.0	0	17	0	23
293.0	0	24	0	16
294.0	0	22	0	19
295.0	0	21	0	18
296.0	0	12	0	22
297.0	0	19	0	22
298.0	0	16	0	23
299.0	0	29	0	14
300.0	0	18	0	16
301.0	0	24	0	15
302.0	0	18	0	13
303.0	0	14	0	10
304.0	0	22	0	22
305.0	0	12	0	15
306.0	0	10	0	16
307.0	0	11	0	19
308.0	0	18	0	25
309.0	0	27	0	17
310.0	0	19	0	20
311.0	0	17	0	23
312.0	0	21	0	17
313.0	0	24	0	16
314.0	0	15	0	17
315.0	0	13	0	19
316.0	0	16	0	28
317.0	0	20	0	19
318.0	0	23	0	20
319.0	0	17	0	14
320.0	0	25	0	24
321.0	0	21	0	17
322.0	0	14	0	12
323.0	0	13	0	17
324.0	0	18	0	14
325.0	0	21	0	15
326.0	0	17	0	12
327.0	0	15	0	16
328.0	0	19	0	14
329.0	0	20	0	20
330.0	0	12	0	16
331.0	0	11	0	21
332.0	0	15	0	17
333.0	0	17	0	6
334.0	0	13	0	15
335.0	0	17	0	10
336.0	0	12	0	15
337.0	0	13	0	15
338.0	0	12	0	22
339.0	0	12	0	16
340.0	0	14	0	13
341.0	0	18	0	22
342.0	0	20	0	15
343.0	0	17	0	13
344.0	0	18	0	20
345.0	0	14	0	20
346.0	0	17	0	11
347.0	0	18	0	18
348.0	0	15	0	10
349.0	0	10	0	16
350.0	0	17	0	12
351.0	0	14	0	14
352.0	0	14	0	13
353.0	0	12	0	19
354.0	0	23	0	15
355.0	0	15	0	11
356.0	0	13	0	11
357.0	0	14	0	10
358.0	0	6	0	19
359.0	0	15	0	13
360.0	0	13	0	12
361.0	0	11	0	11
362.0	0	15	0	20
363.0	0	19	0	10
364.0	0	12	0	12
365.0	0	12	0	9
366.0	0	15	0	11
367.0	0	11	0	15
368.0	0	13	0	17
369.0	0	10	0	11
370.0	0	6	0	13
371.0	0	21	0	13
372.0	0	14	0	8
373.0	0	14	0	9
374.0	0	9	0	16
375.0	0	5	0	7
376.0	0	13	0	7
377.0	0	12	0	12
378.0	0	13	0	7
379.0	0	11	0	15
380.0	0	11	0	16
381.0	0	11	0	12
382.0	0	10	0	17
383.0	0	13	0	10
384.0	0	9	0	11
385.0	0	12	0	13
386.0	0	15	0	11
387.0	0	7	0	7
388.0	0	12	0	8
389.0	0	13	0	0
390.0	0	9	0	9
391.0	0	7	0	9
392.0	0	5	0	14
393.0	0	9	0	14
394.0	0	7	0	5
395.0	0	10	0	7
396.0	0	13	0	7
397.0	0	8	0	12
398.0	0	9	0	7
399.0	0	10	0	9
400.0	0	10	0	8
401.0	0	9	0	9
402.0	0	13	0	13
403.0	0	8	0	12
404.0	0	4	0	9
405.0	0	10	0	12
406.0	0	8	0	9
407.0	0	12	0	7
408.0	0	14	0	13
409.0	0	8	0	16
410.0	0	10	0	7
411.0	0	12	0	3
412.0	0	7	0	14
413.0	0	13	0	11
414.0	0	9	0	5
415.0	0	11	0	8
416.0	0	12	0	8
417.0	0	9	0	14
418.0	0	8	0	9
419.0	0	13	0	9
420.0	0	8	0	7
421.0	0	5	0	12
422.0	0	11	0	8
423.0	0	7	0	14
424.0	0	9	0	8
425.0	0	10	0	6
426.0	0	7	0	5
427.0	0	9	0	6
428.0	0	4	0	9
429.0	0	5	0	8
430.0	0	7	0	9
431.0	0	15	0	6
432.0	0	7	0	8
433.0	0	7	0	6
434.0	0	10	0	7
435.0	0	11	0	11
436.0	0	5	0	13
437.0	0	9	0	4
438.0	0	7	0	4
439.0	0	8	0	6
440.0	0	7	0	13
441.0	0	6	0	4
442.0	0	4	0	4
443.0	0	7	0	10
444.0	0	4	0	2
445.0	0	7	0	8
446.0	0	9	0	12
447.0	0	7	0	3
448.0	0	7	0	9
449.0	0	5	0	5
450.0	0	9	0	8
451.0	0	7	0	4
452.0	0	7	0	8
453.0	0	5	0	2
454.0	0	5	0	1
455.0	0	9	0	7
456.0	0	10	0	3
457.0	0	3	0	10
458.0	0	5	0	4
459.0	0	4	0	6
460.0	0	2	0	8
461.0	0	5	0	6
462.0	0	6	0	7
463.0	0	2	0	11
464.0	0	10	0	4
465.0	0	4	0	6
466.0	0	13	0	10
467.0	0	8	0	14
468.0	0	8	0	9
469.0	0	9	0	6
470.0	0	7	0	6
471.0	0	8	0	6
472.0	0	8	0	9
473.0	0	10	0	6
474.0	0	4	0	10
475.0	0	10	0	3
476.0	0	1	0	6
477.0	0	10	0	11
478.0	0	9	0	3
479.0	0	4	0	6
480.0	0	8	0	7
